MJD,mag,uncert
60082.8824649998,17.934,0.143
60082.8859600001,17.101,0.109
60082.88959500007,17.435,0.110
60082.893087999895,17.359,0.140
60082.8965830002,17.512,0.169
60082.90029399982,17.11,0.092
60082.90440599993,17.156,0.076
60082.91795499995,17.232,0.110
60082.921449000016,17.492,0.123
60082.92494300008,17.382,0.115
60082.92868300015,17.252,0.103
60082.93217700021,17.281,0.122
60084.83547999989,12.293,0.025
60084.894439999945,12.37,0.06
60085.03099999996,12.05,0.005
60085.82528400002,11.512,0.038
60085.90199999977,11.398,0.005
60086.07777399989,11.393,0.006
60086.07848600019,11.389,0.006
60086.07919800002,11.383,0.006
60086.079909999855,11.374,0.006
60086.080622000154,11.37,0.006
60086.0813310002,11.363,0.006
60086.082039,11.373,0.006
60086.082750999834,11.373,0.006
60086.08346300013,11.377,0.006
60086.08417499997,11.383,0.006
60086.0848869998,11.381,0.006
60086.085595999844,11.384,0.007
60086.08733800007,11.782,0.099
60086.08885500021,11.748,0.102
60086.09034899995,11.756,0.104
60086.09186600009,11.761,0.096
60086.09333699988,11.759,0.109
60086.09473899985,11.742,0.069
60086.096210000105,11.747,0.074
60086.097657999955,11.799,0.055
60086.09903800022,11.759,0.086
60086.100440000184,11.696,0.048
60086.10184200015,11.775,0.049
60086.10342800012,11.771,0.058
60086.10673800018,11.739,0.119
60086.111219999846,11.705,0.041
60086.269780000206,11.339,0.028
60086.64906999981,11.121,0.002
60086.93442799989,11.26,0.096
60087.14057999989,11.098,0.009
60087.141640000045,11.099,0.008
60087.142690000124,11.097,0.008
60087.1437400002,11.096,0.008
60087.14479999989,11.097,0.008
60087.14584999997,11.093,0.008
60087.900450000074,11.339,0.044
60088.882000000216,11.001,0.004
60088.897369999904,11.36,0.041
60089.904649999924,11.345,0.046
60090.0862850002,10.715,0.126
60090.0867130002,10.83,0.107
60090.08712999988,10.702,0.072
60090.08755799988,10.812,0.124
60090.08797500003,10.734,0.179
60091.084675999824,10.579,0.134
60091.08509299997,10.557,0.111
60091.08552099997,10.53,0.076
60091.08594899997,10.562,0.158
60091.08636600012,10.51,0.109
60091.08679400012,10.511,0.100
60091.08722200012,10.563,0.160
60091.0880669998,10.502,0.061
60091.0884949998,10.522,0.103
60091.08892400004,10.618,0.123
60091.08933999995,10.528,0.123
60091.1408830001,11.398,0.059
60091.14244600013,11.379,0.023
60091.143986000214,11.337,0.026
60091.14550299989,11.356,0.035
60091.147042999975,11.34,0.017
60091.14858300006,11.357,0.046
60091.1501000002,11.337,0.048
60091.15161699988,11.367,0.069
60091.15313400002,11.392,0.070
60091.154651000164,11.386,0.061
60091.15616799984,11.401,0.045
60091.157684999984,11.456,0.039
60091.159202000126,11.437,0.100
60091.16200600006,11.461,0.065
60091.16480900021,11.46,0.039
60091.16632599989,11.486,0.049
60091.16784300003,11.509,0.065
60091.169360000174,11.498,0.064
60091.17087699985,11.456,0.037
60091.172393999994,11.438,0.060
60091.173911000136,11.48,0.055
60091.17542799981,11.485,0.044
60091.176944999956,11.481,0.067
60091.1784620001,11.469,0.052
60091.18009399995,11.435,0.063
60091.181725999806,11.422,0.050
60091.18324299995,11.454,0.071
60091.18476000009,11.427,0.040
60091.18627699977,11.461,0.068
60091.18779399991,11.485,0.052
60091.82796500018,11.2,0.058
60091.8741700002,11.183,0.0044
60091.87887000013,11.183,0.0044
60091.88335999986,11.184,0.0044
60091.89338999987,11.188,0.0044
60092.82771300012,11.211,0.033
60093.06972000003,11.063,0.006
60093.0699,11.054,0.006
60093.07009000005,11.052,0.005
60093.0702800001,11.041,0.006
60093.070460000075,11.058,0.005
60093.070650000125,11.059,0.005
60093.0708300001,11.05,0.005
60093.07102000015,11.068,0.005
60093.0712100002,11.049,0.005
60093.07139000017,11.062,0.005
60093.07158000022,11.062,0.005
60093.071760000195,11.06,0.005
60093.07194999978,11.052,0.005
60093.07213000022,11.052,0.005
60093.0723199998,11.056,0.005
60093.07250999985,11.06,0.005
60093.072689999826,11.068,0.005
60093.072879999876,11.049,0.005
60093.07305999985,11.056,0.005
60093.0732499999,11.056,0.005
60093.07343999995,11.054,0.005
60093.07361999992,11.046,0.005
60093.07380999997,11.056,0.005
60093.073989999946,11.051,0.005
60093.074179999996,11.051,0.005
60093.074370000046,11.06,0.005
60093.07455000002,11.047,0.005
60093.07474000007,11.057,0.005
60093.07492000004,11.064,0.005
60093.07511000009,11.063,0.005
60093.075290000066,11.05,0.005
60093.075480000116,11.056,0.005
60093.075670000166,11.066,0.005
60093.07585000014,11.06,0.005
60093.07604000019,11.051,0.005
60093.07622000016,11.063,0.005
60093.07641000021,11.068,0.005
60093.0765999998,11.062,0.005
60093.07677999977,11.058,0.005
60093.07696999982,11.052,0.005
60093.07714999979,11.059,0.004
60093.07733999984,11.059,0.004
60093.07752999989,11.056,0.004
60093.07770999987,11.05,0.004
60093.07789999992,11.064,0.004
60093.07807999989,11.065,0.004
60093.07826999994,11.061,0.004
60093.07845999999,11.062,0.004
