MJD,mag,uncert
# TNSAN 2023-150
60082.877,18.60,0
60082.941,17.67,0
60083.798,14.66,0
# ATel 16054
60083.590,16.530,0.240
60083.594,15.260,0.240
60083.597,15.050,0.240
60083.601,15.190,0.240
60083.605,14.920,0.240
60083.619,15.260,0.240
# Nat 627 (2024) 754 
60082.847,18.360,0.281
60082.876,18.141,0.215
60082.889,18.041,0.110
60082.906,17.802,0.115
60082.942,17.652,0.112
60082.944,17.678,0.075
60082.974,17.460,0.156
60083.024,17.148,0.059
60083.585,15.065,0.048
60083.592,15.028,0.076
60083.614,14.984,0.080
60083.617,15.061,0.029
60083.617,14.919,0.076
