MJD,mag,mag_err
60412.89472,12.566,0.008
60413.04573,12.380,0.007
60417.28291,12.052,0.006
60418.22739,12.016,0.006
60419.25498,12.084,0.006
60420.25042,12.113,0.007
60423.0587,12.238,0.007
60424.17708,12.345,0.01
60425.16868,12.257,0.007
60427.82279,12.357,0.007
60428.83265,12.402,0.007
60433.84656,12.579,0.008
60434.20938,12.625,0.008
60436.11639,12.630,0.008
60437.09181,12.658,0.008
60438.9664,12.767,0.008
60440.13771,12.790,0.009
60441.98914,12.833,0.009
60444.96836,12.918,0.009
60447.07297,12.998,0.01
60448.15362,13.016,0.01
60453.98093,13.167,0.011
60456.17751,13.114,0.012
60457.0712,13.210,0.011
60458.01064,13.206,0.01
60460.16408,13.236,0.011
60461.16408,13.237,0.011
60462.16114,13.263,0.011
60463.16143,13.242,0.011
60468.14479,13.319,0.011
60477.12763,13.432,0.014
60478.11483,13.388,0.012
60479.11089,13.451,0.013
60486.08042,13.545,0.013
60488.08429,13.506,0.012
60492.82888,13.655,0.013
60494.0215,13.662,0.013
60496.74131,13.788,0.013
60500.96576,13.854,0.014
