MJD,mag,mag_err
60416.06295699999,12.089,0.009
60416.06353599997,12.085,0.009
60417.06017899979,12.111,0.009
60417.06074699992,12.114,0.009
60418.0575290001,12.137,0.009
60418.058108000085,12.155,0.009
60418.54319400014,11.997,0.056
60419.054682000075,12.173,0.009
60419.05524899997,12.176,0.010
60420.052031000145,12.21,0.010
60420.05261000013,12.217,0.010
60421.04907999979,12.273,0.012
60421.04964700015,12.224,0.013
60421.540419999976,12.027,0.017
60421.6263799998,12.164,0.007
60421.71274999995,12.224,0.012
60422.04641800001,12.271,0.011
60422.046997,12.289,0.011
60422.47139000008,11.71,0.012
60422.55935999984,12.232,0.011
60422.65049999999,12.261,0.015
60423.043546999805,12.273,0.013
60423.04411499994,12.275,0.013
60424.020653999876,12.354,0.012
60424.02122099977,12.358,0.012
60425.02014499996,12.355,0.011
60425.02071199985,12.398,0.011
60426.01933400007,12.419,0.012
60426.019902000204,12.435,0.011
60426.5214999998,12.371,0.009
60427.018616999965,12.463,0.009
60427.01918399986,12.467,0.010
60427.480750000104,12.435,0.016
60428.018720999826,12.499,0.010
60428.019288000185,12.49,0.010
60428.48992000008,12.443,0.008
60429.01778399991,12.555,0.010
60429.0183509998,12.549,0.010
60429.4638100001,12.466,0.010
60429.63323999988,12.471,0.015
60430.017748999875,12.584,0.010
60430.01831599977,12.57,0.010
60431.01748300018,12.641,0.009
60431.01805000007,12.64,0.009
60432.01705399994,12.66,0.010
60432.01762200007,12.665,0.010
60433.01620899979,12.719,0.010
60433.016776999924,12.724,0.010
60433.49655999988,12.665,0.009
60434.01566600008,12.762,0.010
60434.01623299997,12.766,0.010
60434.46108999988,12.723,0.008
60435.009300000034,12.832,0.010
60435.00987799978,12.831,0.010
60436.00885999994,12.885,0.010
60436.00942699984,12.891,0.010
60436.49352000002,12.792,0.009
60437.00873300014,12.927,0.011
60437.009300000034,12.909,0.011
60437.66251999978,12.874,0.011
60439.00752899982,13.015,0.011
60439.00809600018,13.029,0.010
60441.00707799988,13.134,0.011
60441.00764499977,13.123,0.011
60442.009831999894,13.115,0.037
60442.01039899979,13.189,0.035
60443.00638299994,13.218,0.012
60443.006949999835,13.206,0.012
60443.99056100007,13.269,0.016
60443.99114000006,13.289,0.015
60444.46248000022,13.166,0.009
60446.98258699989,13.384,0.013
60446.98315399978,13.414,0.014
60447.46492999978,13.361,0.010
60447.98266799981,13.449,0.026
60447.98323500017,13.661,0.088
60448.45349999983,13.42,0.011
60448.98247099994,13.473,0.014
60448.98304999992,13.512,0.014
60449.98204299994,13.53,0.014
60449.98262199992,13.52,0.014
