MJD,mag,mag_err
60411.60660499986,16.22,0.024
60412.57177700009,12.8867,0.0061
60412.571918999776,12.8511,0.0059
60412.572052999865,12.8579,0.0059
60412.572188000195,12.8634,0.0066
60412.57232300006,12.8081,0.0061
60412.57245799992,12.8457,0.0060
60412.572592999786,12.831,0.0059
60412.57272899989,12.8226,0.0057
60412.57286400022,12.7966,0.0060
60412.57299799984,12.8552,0.0062
60412.573249000125,12.8264,0.0036
60412.57361599989,12.8432,0.0036
60412.573983000126,12.8354,0.0036
60412.57434900012,12.88,0.0037
60412.57471500011,12.868,0.0036
60412.575079999864,12.8121,0.0034
60412.5754470001,12.7935,0.0037
60412.57581300009,12.8446,0.0043
60412.57617999986,12.8179,0.0039
60412.57654700009,12.8503,0.0036
60412.577550000045,12.8413,0.0020
60412.58218100015,12.8078,0.0022
60412.585268999916,12.8171,0.0019
60412.58804799989,12.8052,0.0027
60412.59116100008,12.8063,0.0025
60412.69743200019,12.6551,0.0067
60412.697567000054,12.664,0.0063
60412.69770199992,12.6722,0.0064
60412.69783699978,12.6329,0.0063
60412.698241000064,12.6761,0.0061
60412.69837599993,12.6559,0.0062
60412.69851200003,12.6797,0.0065
60412.698646999896,12.6668,0.0065
60412.69889699994,12.6719,0.0036
60412.69926400017,12.6737,0.0035
60412.69962899992,12.6443,0.0035
60413.58286499977,12.0304,0.0048
60413.58299899986,12.078,0.0048
60413.58313299995,12.0561,0.0048
60413.58338299999,12.1,0.0029
60413.58374899998,12.0523,0.0028
60413.5841140002,12.0524,0.0027
60413.643523999956,11.9866,0.0049
60413.64366400009,12.0141,0.0052
60413.643798999954,12.0098,0.0050
60413.64404999977,12.0501,0.0030
60413.64441499999,12.043,0.0030
60413.64478099998,12.0433,0.0029
60414.77883700002,12.332,0.007
60415.64841700019,11.9479,0.0059
60415.64856000012,11.9123,0.0058
60415.64869600022,11.9428,0.0058
60415.648831000086,11.934,0.0058
60415.648963999934,11.936,0.0058
60415.6490989998,11.902,0.0057
60415.64923299989,11.939,0.0059
60415.64936800022,11.9158,0.0059
60415.64950199984,11.9418,0.0058
60415.64963700017,11.9373,0.0057
60415.64988700021,11.9315,0.0034
60415.6502530002,11.9213,0.0035
60415.6506190002,11.9228,0.0035
60415.65098399995,11.9335,0.0034
60415.65134900017,11.9478,0.0035
60415.651715999935,11.9183,0.0037
60415.65207999991,11.9394,0.0039
60416.06203699997,11.891,0.008
60416.062442000024,11.88,0.008
60417.05927099986,11.881,0.008
60417.059663999826,11.86,0.008
60417.25088999979,12.009,0.0101
60417.63268300006,11.9195,0.0068
60417.633049000055,11.9149,0.0097
60417.63341100002,11.9402,0.0071
60417.64155199984,11.9085,0.0073
60417.64398200018,11.9308,0.0074
60417.644346999936,11.9193,0.0055
60417.64470800012,11.9015,0.0053
60417.69214500021,11.9515,0.0056
60417.692507000174,11.9074,0.0052
60417.741419000085,11.8975,0.0071
60417.74199000001,11.9206,0.0068
60418.05661999993,11.892,0.008
60418.05702499999,11.873,0.008
60419.053772999905,11.888,0.008
60419.05416700011,11.883,0.008
60419.100639999844,11.96,0.048
60420.051123000216,11.878,0.008
60420.05152799981,11.907,0.008
60421.04817100009,11.905,0.009
60421.04856499983,11.91,0.009
60421.54138999991,11.832,0.027
60421.62735999981,11.958,0.006
60421.713649999816,11.903,0.009
60422.04550899984,11.924,0.009
60422.0459139999,11.937,0.009
60423.042638999876,11.962,0.010
60423.04303199984,11.96,0.010
60424.019733999856,11.987,0.009
60424.02013899991,11.995,0.009
60424.08273999998,12.061,0.049
60425.01923599979,12.02,0.009
60425.019629999995,12.045,0.009
60426.01841400005,12.071,0.013
60426.018819000106,12.097,0.012
60426.52245000005,12.087,0.007
60426.69221000001,12.039,0.011
60427.017707999796,12.108,0.008
60427.018102,12.127,0.008
60427.48169999989,11.919,0.011
60428.0178129999,12.128,0.009
60428.01820599986,12.136,0.008
60428.096590000205,12.164,0.023
60428.49086999986,11.998,0.005
60428.66002999991,12.163,0.033
60429.016875000205,12.18,0.008
60429.017268999945,12.177,0.008
60429.46474999981,11.978,0.009
60429.63418000005,12.097,0.013
60430.01684000017,12.189,0.008
60430.01723399991,12.203,0.009
60431.01657400001,12.212,0.008
60431.016968000215,12.217,0.008
60432.01614600001,12.253,0.009
60432.016538999975,12.253,0.009
60433.01530099986,12.253,0.009
60433.01569399983,12.241,0.009
60433.49751000013,12.19,0.010
60434.01475699991,12.278,0.009
60434.015149999876,12.27,0.009
60435.008390999865,12.296,0.009
60435.00879599992,12.3,0.009
60436.007950999774,12.304,0.009
60436.00834499998,12.32,0.009
60436.08262,12.364,0.017
60436.49444000004,12.106,0.008
60437.00782399997,12.34,0.010
60437.00821800018,12.318,0.009
60437.66347000003,12.306,0.011
60439.00662000012,12.405,0.009
60439.00701399986,12.382,0.009
60439.66731399996,12.459,0.041
60440.03750000009,12.458,0.018
60441.00615700008,12.439,0.009
60441.006562999915,12.45,0.009
60441.583711999934,12.591,0.150
60441.58395999996,12.479,0.033
60441.58432199992,12.687,0.118
60441.5846859999,12.501,0.024
60441.58493199991,12.483,0.014
60441.58506199997,12.492,0.007
60441.5851929998,12.474,0.023
60441.5853240001,12.449,0.021
60441.585454999935,12.47,0.026
60441.585702000186,12.483,0.011
60441.58606400015,12.499,0.013
60441.586428000126,12.536,0.022
60442.008923999965,12.459,0.017
60442.00931699993,12.512,0.034
60442.578079000115,12.602,0.203
60442.57821100019,12.533,0.023
60442.57834200002,12.53,0.024
60443.00547500001,12.491,0.009
60443.00586799998,12.507,0.009
60443.98966399999,12.541,0.013
60443.9900580002,12.5,0.013
60444.463399999775,12.276,0.039
60446.493720000144,12.426,0.011
60446.981678000186,12.575,0.010
60446.982071999926,12.57,0.010
60447.07563999994,12.63,0.018
60447.46604999993,12.558,0.006
60447.98174799979,12.568,0.034
60447.982152999844,12.587,0.013
60448.454619999975,12.502,0.052
60448.98155099992,12.587,0.010
60448.981955999974,12.612,0.010
60449.0756000001,12.585,0.016
60449.98112299992,12.601,0.010
60449.98151599988,12.602,0.010
60450.980659999885,12.622,0.011
60450.98105299985,12.617,0.011
60451.98101900006,12.71,0.038
60451.981424000114,12.671,0.034
60452.98025499983,12.743,0.017
60452.98064799979,12.689,0.018
60453.54758200003,12.679,0.006
60453.55185300019,12.644,0.018
60453.55500699999,12.671,0.004
60453.55925199995,12.653,0.017
60453.5623949999,12.687,0.006
60453.56666499982,12.7,0.018
60453.97997700004,12.676,0.011
60453.980370000005,12.664,0.011
60454.97953699995,12.655,0.012
60454.979931000154,12.66,0.011
60455.97957199998,12.686,0.010
60455.97996499995,12.663,0.010
60456.97980300011,12.692,0.010
60456.98020800017,12.694,0.010
60457.97908600001,12.701,0.010
60457.97947899997,12.695,0.010
60458.97937500011,12.711,0.010
60458.97978000017,12.704,0.010
60459.97921299981,12.732,0.010
60459.979605999775,12.743,0.010
60460.979166999925,12.75,0.010
60460.97957199998,12.753,0.010
60461.97893500002,12.731,0.011
60461.97932900023,12.761,0.010
60462.97619199986,12.725,0.010
60462.97658600006,12.71,0.010
60463.97572899982,12.733,0.010
60463.97613399988,12.701,0.010
60464.97587999981,12.764,0.011
60464.976284999866,12.745,0.010
60465.97572899982,12.75,0.010
60465.97613399988,12.753,0.010
60466.513900000136,12.644,0.017
60466.97586800018,12.761,0.010
60466.976261999924,12.774,0.011
60470.97590300022,12.777,0.012
60470.97630799981,12.785,0.012
