MJD,mag,mag_err
60411.60929400008,15.866,0.058
60414.778843000066,11.839,0.012
60416.061389000155,11.628,0.033
60416.06166699994,11.603,0.031
60417.05862300005,11.606,0.029
60417.05890000006,11.622,0.030
60418.05598400021,11.592,0.030
60418.056262,11.59,0.029
60419.05312500009,11.489,0.030
60419.05340299988,11.507,0.029
60420.05048599979,11.471,0.029
60420.05076400004,11.454,0.028
60421.04752299981,11.446,0.031
60421.047801000066,11.427,0.032
60422.04487300012,11.479,0.032
60422.045150000136,11.436,0.031
60423.041991000064,11.477,0.030
60423.04226899985,11.463,0.037
60424.019096999895,11.425,0.030
60424.01937500015,11.482,0.031
60425.01858799998,11.452,0.033
60425.01886600023,11.539,0.032
60426.01776599977,11.603,0.040
60426.018044000026,11.587,0.041
60427.017059999984,11.546,0.031
60427.01733799977,11.598,0.031
60428.017163999844,11.69,0.033
60428.0174420001,11.606,0.033
60429.01622699993,11.627,0.033
60429.01650500018,11.645,0.034
60430.01619199989,11.718,0.032
60430.01647000015,11.659,0.033
60431.0159260002,11.721,0.032
60431.016203999985,11.672,0.032
60432.0154980002,11.734,0.034
60432.01577500021,11.766,0.034
60433.01465300005,11.739,0.033
60433.01493099984,11.817,0.033
60433.49891000008,11.716,0.045
60434.0141090001,11.78,0.033
60434.0143980002,11.754,0.035
60434.46343,11.787,0.020
60435.007755000144,11.82,0.034
60435.00803200016,11.78,0.034
60436.00730299996,11.663,0.033
60436.007581000216,11.742,0.034
60436.49582999991,11.558,0.012
60437.00717600016,11.789,0.036
60437.00745399995,11.747,0.036
60439.00597199984,11.893,0.035
60439.00625000009,11.791,0.034
60441.005497999955,11.857,0.035
60441.00578700006,11.809,0.035
60442.00827499991,11.82,0.051
60442.00855300017,11.823,0.048
60443.00482599996,11.8,0.033
60443.005104000214,11.899,0.036
60443.98901600018,11.942,0.060
60443.98929399997,11.808,0.055
60446.98101900006,11.931,0.038
60446.98130800016,11.908,0.036
60448.980903000105,11.853,0.038
60448.981180999894,11.892,0.036
60449.98045099992,11.915,0.036
60449.9807409998,11.935,0.037
60450.97999999998,12.019,0.042
60450.98028900009,11.992,0.037
60451.980370000005,11.832,0.103
60451.98064799979,12.259,0.124
60452.979594999924,11.893,0.045
60452.97988400003,11.908,0.064
60453.54980899999,11.948,0.007
60453.552955000196,11.973,0.020
60453.55725000007,11.965,0.009
60453.56034999993,11.999,0.026
60453.5646449998,11.97,0.005
60453.56773999985,11.943,0.019
60453.979317000136,11.89,0.037
60453.979605999775,11.983,0.037
60454.97888900014,11.979,0.039
60454.979166999925,11.954,0.039
60455.97891200008,11.985,0.037
60455.97918999987,11.981,0.039
60456.97915499983,12.002,0.038
60456.97943300009,11.994,0.039
60457.978438000195,12.06,0.038
60457.97871500021,11.961,0.037
60458.978726999834,11.923,0.037
60458.97900500009,11.96,0.037
60459.978565,11.857,0.038
60459.978842999786,12.008,0.039
60460.97851900011,11.934,0.036
60460.97879600013,11.947,0.036
60461.97828700021,11.972,0.038
60461.978565,11.909,0.038
60462.97553199995,11.859,0.037
60462.97582199983,11.926,0.039
60463.97508100001,11.962,0.037
60463.9753589998,11.931,0.039
60464.975219999906,11.884,0.037
60464.97550900001,11.961,0.036
60465.97506899992,11.894,0.039
60465.9753589998,11.892,0.038
60466.975207999814,11.883,0.037
60466.97548600007,11.91,0.039
60470.97525499994,11.933,0.046
60470.97553199995,11.893,0.046
60471.969653000124,11.937,0.039
60471.96994200023,11.94,0.039
60472.969560000114,11.95,0.038
60472.9698379999,11.968,0.040
60473.96284699999,11.9,0.046
60473.96313699987,11.963,0.050
60474.962927999906,11.973,0.040
60474.96320600016,11.92,0.037
60475.96288200002,11.961,0.038
60475.96315999981,11.991,0.039
60476.970197000075,11.987,0.039
60476.970474999864,12.046,0.040
60477.96974499989,11.953,0.037
60477.97002300015,11.981,0.038
60478.97023099987,11.914,0.038
60478.970521000214,12.031,0.040
60479.970428000204,12.006,0.041
60481.96909700008,11.937,0.039
60481.96937499987,11.953,0.039
60482.969039000105,11.973,0.040
60482.969328999985,11.924,0.040
60483.97032399988,12.001,0.044
60483.97061299998,11.935,0.039
60485.96974499989,12.056,0.050
60485.97003499977,12.119,0.042
60486.9694099999,11.939,0.039
60486.96968800016,11.944,0.037
60487.97012700001,12.267,0.142
60487.970404999796,11.877,0.134
60488.97138899984,12.035,0.042
60488.97167799994,12.066,0.046
60489.971076000016,11.998,0.048
60489.971353999805,11.964,0.045
60490.97161999997,11.979,0.040
60490.97190999985,12.083,0.041
60491.97131899977,12.104,0.042
60491.97160900012,12.009,0.042
60492.971353999805,12.042,0.043
60492.97163200006,12.038,0.046
60493.96898100013,12.052,0.041
60493.96927100001,12.06,0.042
60494.96868100017,12.073,0.046
60494.96896999981,12.081,0.044
60495.96930600004,12.036,0.043
60495.96958300006,12.084,0.043
60496.96672500018,12.082,0.047
60496.967002000194,12.072,0.045
60497.96675899997,12.105,0.046
60497.96704899985,12.145,0.046
60498.966967999935,12.149,0.049
60498.96724499995,12.134,0.046
60499.962731000036,12.09,0.083
60499.963008999825,12.014,0.050
60500.96294,12.193,0.065
60500.9632290001,12.192,0.058
