MJD,mag,mag_err
60411.234167,18.064,0.045
60411.250855,17.921,0.034
60412.039669,14.325,0.005
60412.052879,14.279,0.005
60412.066001,14.255,0.006
60414.432135,12.176,0.003
60414.464181,12.169,0.003
60427.915804,12.096,0.002
60441.197928,12.265,0.004
60450.071795,12.315,0.004
60450.079253,12.353,0.014
60450.092229,12.362,0.01
60458.784524,12.633,0.065
60458.787787,12.376,0.067
60458.793542,12.33,0.013
60459.790193,12.42,0.007
60459.793512,12.426,0.004
60459.799732,12.401,0.027
60475.805409,12.484,0.002
60481.996446,12.469,0.016
60481.999255,12.47,0.03
60482.015081,12.598,0.037
60489.013399,12.53,0.006
60489.016201,12.48,0.008
60489.022265,12.531,0.009
60489.036281,12.586,0.017
