JD;mag;uncert;band;by;comCode;compStar1;compStar2;charts;comment;transformed;airmass;val;cmag;kmag;starName;obsAffil;mtype;adsRef;digitizer;credit;obsID;fainterThan;obsType;software;obsName;obsCountry
2460059.4375;10.7;;Vis.;SJUA;;103;117;X28809AQ;I printed the chart that day but can't find it now... So I have generated a new chart.;;;Z;;;SN 2023ixf;AAVSO;;;;;1299931861;0;Visual;;Simón López-Villalta, Julián;ES
2460083.382465;17.934;0.143;CV;USO01;;ENSEMBLE;;;;0;;Z;;;SN 2023IXF;;STD;;;;1299184731;0;CCD;TYCHO 10.3.2;Poppe, Bjoern;DE
2460083.385960;17.101;0.109;CV;USO01;;ENSEMBLE;;;;0;;Z;;;SN 2023IXF;;STD;;;;1299184732;0;CCD;TYCHO 10.3.2;Poppe, Bjoern;DE
2460083.389595;17.435;0.110;CV;USO01;;ENSEMBLE;;;;0;;Z;;;SN 2023IXF;;STD;;;;1299184733;0;CCD;TYCHO 10.3.2;Poppe, Bjoern;DE
2460083.393088;17.359;0.140;CV;USO01;;ENSEMBLE;;;;0;;Z;;;SN 2023IXF;;STD;;;;1299184734;0;CCD;TYCHO 10.3.2;Poppe, Bjoern;DE
2460083.396583;17.512;0.169;CV;USO01;;ENSEMBLE;;;;0;;Z;;;SN 2023IXF;;STD;;;;1299184735;0;CCD;TYCHO 10.3.2;Poppe, Bjoern;DE
2460083.400294;17.110;0.092;CV;USO01;;ENSEMBLE;;;;0;;Z;;;SN 2023IXF;;STD;;;;1299184736;0;CCD;TYCHO 10.3.2;Poppe, Bjoern;DE
2460083.404406;17.156;0.076;CV;USO01;;ENSEMBLE;;;;0;;Z;;;SN 2023IXF;;STD;;;;1299184737;0;CCD;TYCHO 10.3.2;Poppe, Bjoern;DE
2460083.417955;17.232;0.110;CV;USO01;;ENSEMBLE;;;;0;;Z;;;SN 2023IXF;;STD;;;;1299184738;0;CCD;TYCHO 10.3.2;Poppe, Bjoern;DE
2460083.421449;17.492;0.123;CV;USO01;;ENSEMBLE;;;;0;;Z;;;SN 2023IXF;;STD;;;;1299184739;0;CCD;TYCHO 10.3.2;Poppe, Bjoern;DE
2460083.424943;17.382;0.115;CV;USO01;;ENSEMBLE;;;;0;;Z;;;SN 2023IXF;;STD;;;;1299184740;0;CCD;TYCHO 10.3.2;Poppe, Bjoern;DE
2460083.428683;17.252;0.103;CV;USO01;;ENSEMBLE;;;;0;;Z;;;SN 2023IXF;;STD;;;;1299184741;0;CCD;TYCHO 10.3.2;Poppe, Bjoern;DE
2460083.432177;17.281;0.122;CV;USO01;;ENSEMBLE;;;;0;;Z;;;SN 2023IXF;;STD;;;;1299184742;0;CCD;TYCHO 10.3.2;Poppe, Bjoern;DE
2460083.568;17.3;;U;LSAC;BUWY;;;F-scale chart;;0;;Z;17.3;;SN 2023ixf;AAVSO;STD;;;;1299279504;0;PEP;;LaRiccia, Salvatore;US
2460084.71806;13.5;;Vis.;KRB;;130;138;X28720BJU;Used Z UMi chart;;;Z;;;SN 2023ixf;AAVSO;;;;;1299034528;0;Visual;;King, Robert;US
2460084.72742;13.523;0.011;V;TRE;;ENSEMBLE;117;X28719ZX;BESSEL V 5X180SEC SOME WILDFIRE SMOKE|KMAG=11.723|KMAGINS=-7.459|KREFERR=0.040|KREFMAG=11.735|VMAGINS=-5.658;0;1.050;Z;;11.723;SN 2023IXF;AAVSO;STD;;;;1299015847;0;CCD;VPHOT 4.0.34;Tomlin, Ray;US
2460084.72854;13.449;0.029;B;SPP;;ENSEMBLE;140;230526;EIGHT STAR ENSEMBLE|KMAG=14.548|KMAGINS=-5.072|KREFMAG=14.557|TBV=0.992|VMAGINS=-6.176 | image calibrated BDF, but this was not noted in header;1;;Z;;14.548;SN 2023IXF;AAVSO;STD;;;;1299162294;0;CCD;;Sullivan, Phil;US
2460084.73418;13.583;0.011;V;SPP;;ENSEMBLE;140;230526;EIGHT STAR ENSEMBLE|KMAG=13.957|KMAGINS=-5.896|KREFMAG=13.991|TV_BV=0|VMAGINS=-6.271image calibrated BDF but this was not noted in header;1;;Z;;13.957;SN 2023IXF;AAVSO;STD;;;;1299162293;0;CCD;;Sullivan, Phil;US
2460084.73957;13.522;0.058;I;SPP;;ENSEMBLE;140;230606;EIGHT STAR ENSEMBLE|KMAG=13.192|KMAGINS=-5.401|KREFMAG=13.197|TI_VI=-0.016|VMAGINS=-5.083;1;;Z;;13.192;SN 2023IXF;AAVSO;STD;;;;1299162057;0;CCD;VPHOT 4.0.34;Sullivan, Phil;US
2460084.74103;13.513;0.010;B;TRE;;ENSEMBLE;117;X28719ZX;BESSEL B AVG 4X240 SEC 305MM SCT SOME WF SMOKE|KMAG=12.315|KMAGINS=-6.450|KREFERR=0.057|KREFMAG=12.268|VMAGINS=-5.253;0;1.066;Z;;12.315;SN 2023IXF;AAVSO;STD;;;;1299015845;0;CCD;VPHOT 4.0.34;Tomlin, Ray;US
2460084.75600;13.404;0.016;I;TRE;;ENSEMBLE;117;X28719ZX;AVG 6X180SEC 305MMSCT SOME WILDFIRE SMOKE|KMAG=11.030|KMAGINS=-7.431|KREFERR=0.054|KREFMAG=11.006|VMAGINS=-5.058;0;1.088;Z;;11.030;SN 2023IXF;AAVSO;STD;;;;1299015846;0;CCD;VPHOT 4.0.34;Tomlin, Ray;US
2460084.9521;13.05;0.003;V;FRF;;123;138;X28719AET;;0;;Z;13.641;14.138;SN 2023ixf;MCSE;STD;;;;1299027673;0;CCD;;Fidrich, Robert;HU
