MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60398.435289,r,16.597,0.034,positive,,
60398.351667,g,17.329,0.036,positive,,
60396.391898,g,17.355,0.045,positive,410.0,6.7
60396.352870,r,19.952,,limit,873.3,7.1
60391.395741,g,17.242,0.039,positive,,
60391.242755,r,19.623,,limit,979.7,9.1
60388.410903,g,17.251,0.043,positive,468.0,5.1
60388.383993,r,20.272,,limit,946.2,6.5
60379.304803,r,20.308,,limit,1041.3,6.8
60369.496563,g,17.058,0.054,positive,575.1,5.5
60369.433287,r,20.421,,limit,1208.7,6.7
60365.337766,g,17.264,0.141,positive,,
60363.428576,r,16.098,0.029,positive,1317.8,17.8
60363.387407,g,16.989,0.083,positive,,
60355.451609,r,20.528,,limit,1414.2,7.2
60355.406100,g,16.966,0.039,positive,,
60353.411227,g,16.991,0.037,positive,,
60351.475926,r,20.151,,limit,1525.3,8.2
60351.407280,g,16.887,0.031,positive,,
60325.545012,g,16.646,0.032,positive,,
60325.498009,r,20.469,,limit,2115.6,8.5
60315.480000,r,20.200,,limit,2519.7,9.9
60315.440046,g,16.491,0.042,positive,886.3,6.6
60311.517975,r,20.248,,limit,2527.9,9.5
60311.483796,g,16.484,0.030,positive,934.1,6.7
60291.536377,r,20.469,,limit,3296.0,10.5
60291.494792,g,16.334,0.030,positive,1045.9,6.3
60289.534259,g,16.298,0.059,positive,,
60289.479016,r,14.995,0.043,positive,,
60287.512535,g,16.249,0.029,positive,1084.3,7.9
60188.166771,g,15.213,0.036,positive,,
60172.244329,g,14.969,0.033,positive,,
60172.180000,r,20.396,,limit,,
60170.242060,g,14.854,0.027,positive,,
60165.242118,g,20.015,,limit,,
60165.225914,r,20.215,,limit,,
60163.265104,r,20.160,,limit,,
60163.238819,g,13.826,0.027,positive,,
60161.279965,g,13.518,0.031,positive,,
60159.284641,g,13.342,0.018,positive,,
60159.241111,r,19.639,,limit,,
60153.285023,g,19.705,,limit,,
60153.217326,r,20.237,,limit,,
60144.258993,g,12.778,0.022,positive,,
60144.221123,r,20.610,,limit,,
60141.243125,r,20.449,,limit,,
60141.225822,g,12.719,0.025,positive,,
60139.260359,r,20.365,,limit,,
60139.222454,g,20.637,,limit,,
60137.224583,g,20.601,,limit,,
60135.288125,r,20.405,,limit,,
60135.241505,g,12.542,0.023,positive,,
60133.324977,g,12.447,0.024,positive,,
60128.298785,r,19.566,,limit,,
60128.201597,g,19.592,,limit,,
60126.370370,r,19.466,,limit,,
60126.206724,g,19.805,,limit,,
60124.358819,g,19.553,,limit,,
60124.239259,r,20.346,,limit,,
60122.303924,g,12.148,0.017,positive,,
60120.208333,r,20.635,,limit,,
60118.257778,g,12.019,0.015,positive,,
60118.217685,r,20.177,,limit,,
60116.247488,r,20.825,,limit,,
60116.201285,g,20.773,,limit,,
60114.284074,g,20.496,,limit,,
60114.238831,r,20.757,,limit,,
60112.260197,r,20.529,,limit,,
60112.222107,g,20.612,,limit,,
60110.263843,g,20.902,,limit,,
60110.225857,r,20.858,,limit,,
60105.300880,g,19.023,,limit,,
60105.264340,r,20.918,,limit,,
60103.241076,g,20.758,,limit,,
60103.205058,r,20.817,,limit,,
60101.357280,r,19.610,,limit,,
60101.284583,g,19.793,,limit,,
60098.352662,r,19.370,,limit,,
60098.199340,g,19.655,,limit,,
60093.431076,g,20.381,,limit,,
60093.386944,r,20.694,,limit,,
60091.362303,r,20.773,,limit,,
60089.326482,r,20.807,,limit,,
60089.298819,g,20.841,,limit,,
60083.322998,g,15.905,0.029,positive,,
60081.316412,g,20.810,,limit,,
60081.279329,r,20.636,,limit,,
60079.350104,g,20.746,,limit,,
60079.332049,r,20.893,,limit,,
60077.385822,g,20.339,,limit,,
60077.325486,r,20.493,,limit,,
60073.323044,r,20.232,,limit,,
60073.262361,g,20.536,,limit,,
60065.301100,g,19.919,,limit,,
60063.424317,g,20.606,,limit,,
60063.407627,r,20.678,,limit,,
60061.358808,g,20.697,,limit,,
60061.320799,r,20.719,,limit,,
60059.323819,g,20.807,,limit,,
60059.305903,r,20.531,,limit,,
60057.386215,r,20.179,,limit,,
60057.303762,g,20.894,,limit,,
60055.358657,r,20.789,,limit,,
60055.293252,g,20.382,,limit,,
