MJD,mag,mag_err
60000.559361,19.211,0.235
60002.245984,19.344,0.223
60020.953269,19.261,0.249
60020.956425,19.456,0.233
60033.010352,18.969,0.189
60048.162136,19.046,0.191
60048.167255,19.175,0.22
60049.361508,19.33,0.229
60054.14273,18.901,0.164
60054.154266,19.035,0.161
60054.157449,19.322,0.214
60054.162903,18.987,0.219
60057.148765,19.038,0.169
60057.165205,19.571,0.23
60082.806878,19.489,0.222
60082.813288,19.127,0.179
60082.823359,19.225,0.186
60108.020093,18.821,0.187
60108.02282,18.841,0.16
60108.03283,18.652,0.153
60108.041735,18.987,0.207
60111.013453,18.059,0.098
60111.016235,18.372,0.121
60111.027017,18.437,0.111
60111.03245,18.503,0.13
60115.271165,18.411,0.102
60115.274339,18.316,0.095
60115.292742,18.637,0.137
60115.298649,18.138,0.079
60136.699083,16.748,0.044
60136.702257,16.844,0.037
60136.707758,16.828,0.029
60136.718229,16.769,0.024
60142.701652,15.105,0.012
60142.70483,15.051,0.01
60142.71132,15.077,0.009
60142.721415,15.071,0.008
60161.964624,14.204,0.009
60161.967793,14.226,0.007
60161.973242,14.217,0.006
60161.984279,14.214,0.006
60329.028145,18.779,0.141
60436.863009,19.113,0.23
