MJD,mag,mag_err
60016.00239,18.751,0.226
60026.184343,18.852,0.217
60029.308709,19.064,0.249
60029.47088,19.13,0.217
60041.429317,18.36,0.212
60041.432942,18.474,0.203
60052.902141,19.206,0.165
60069.386768,17.31,0.155
60088.811779,18.805,0.184
60088.819588,18.54,0.171
60091.309186,18.846,0.197
60100.819341,18.476,0.214
60118.761091,17.888,0.121
60118.764691,18.047,0.14
60118.773454,17.895,0.115
60118.792397,17.994,0.135
60123.042345,18.076,0.172
60123.045086,17.856,0.123
60123.050002,17.927,0.127
60123.064238,18.067,0.186
60126.030918,18.048,0.153
60126.033634,18.428,0.189
60126.040235,18.356,0.224
60128.01465,17.311,0.103
60128.018264,17.427,0.112
60128.023289,17.505,0.123
60128.03674,17.483,0.137
60128.998565,17.366,0.096
60129.001269,17.423,0.095
60129.008254,17.677,0.112
60129.026851,17.204,0.078
60130.73142,17.13,0.042
60130.734162,17.147,0.04
60130.742576,17.121,0.043
60130.754059,17.195,0.049
60132.00415,17.061,0.109
60132.010963,16.971,0.089
60133.995694,17.136,0.072
60133.998429,17.049,0.083
60134.010682,17.014,0.06
60134.022931,16.961,0.048
60140.011142,16.474,0.03
60140.018966,16.5,0.029
60140.032718,16.616,0.035
60140.035908,16.7,0.03
60140.958236,16.594,0.055
60140.961407,16.563,0.045
60140.969999,16.723,0.032
60140.980447,16.619,0.029
60149.960888,13.717,0.005
60149.965032,13.714,0.005
60149.972768,13.726,0.006
60149.987538,13.712,0.004
60151.981213,13.447,0.016
60151.98437,13.348,0.014
60151.992042,13.489,0.031
60152.004397,13.295,0.151
60152.984835,13.306,0.004
60152.987554,13.308,0.004
60152.997048,13.309,0.004
60155.962962,13.347,0.015
60155.966575,13.321,0.023
60155.972002,13.976,0.162
60283.652095,18.718,0.219
60294.611383,19.254,0.229
60295.618832,18.838,0.176
60334.513845,18.783,0.242
60355.165035,18.805,0.247
60439.114129,19.008,0.219
60464.317818,19.196,0.234
60681.59053,19.086,0.237
