No.,(m-M),err(m-M),D(Mpc),Method,Refcode,Notes,SN Name,Redshift,H0,LMCModulus
1,28.96,0.11,6.190,Cepheids,2013ApJ...777...79M,"GClstr MESSIER 101 GROUP BCG 1 of 1, VI(W), Z, 619",,,,
2,29.04,0.08,6.430,Cepheids,2001ApJ...549..721M,"GClstr MESSIER 101 GROUP BCG 1 of 1, 8, H",,,,
3,29.04,0.05,6.430,Cepheids,2011ApJ...733..124S,"GClstr MESSIER 101 GROUP BCG 1 of 1, 235, VI",,,,18.41
4,29.05,0.14,6.460,Cepheids,1998ApJ...508..491S,GClstr MESSIER 101 GROUP BCG 1 of 1,,,,
5,29.06,0.11,6.490,Cepheids,2001ApJ...553..562N,"GClstr MESSIER 101 GROUP BCG 1 of 1, 29, VI +Z",,,,
6,29.10,0.01,6.610,Cepheids,2015MNRAS.449.1171N,"GClstr MESSIER 101 GROUP BCG 1 of 1, R(V) = 1.4695, Z corr. = -0.23 mag/dex",,,,18.50
7,29.13,0.11,6.700,Cepheids,2001ApJ...553...47F,"GClstr MESSIER 101 GROUP BCG 1 of 1, 25, VI, +Z, KEY PROJECT",,,,
8,29.13,0.11,6.700,Cepheids,2001ApJ...553...47F,"GClstr MESSIER 101 GROUP BCG 1 of 1, 25, VI, KEY PROJECT",,,,
9,29.14,0.05,6.710,Cepheids,2016ApJ...826...56R,"GClstr MESSIER 101 GROUP BCG 1 of 1, 251, VI(W)",,,,18.49
10,29.14,0.01,6.720,Cepheids,2015MNRAS.449.1171N,"GClstr MESSIER 101 GROUP BCG 1 of 1, R(V) = 1.2899, Z corr. = -0.23 mag/dex",,,,18.50
11,29.14,0.09,6.730,Cepheids,2004ApJ...608...42S,"GClstr MESSIER 101 GROUP BCG 1 of 1, LMC VIHJK",,,,
12,29.14,0.03,6.740,Cepheids,2015MNRAS.449.1171N,"GClstr MESSIER 101 GROUP BCG 1 of 1, R(V) = 1.4695, Z any",,,,18.50
