MJD,mag,uncert
# TNSAN 2023-141
60085.895,11.219,0.035
60086.422,11.067,0.022
60087.908,10.775,0.027
60088.42,11.003,0.019
# TNSAN 2023-142
60086.13263889,11.44,0.01
# TNSAN 2023-143
60086.263,11.001,0.028
60087.254,10.864,0.022
60088.254,10.831,0.025
60089.25,10.884,0.023
# TNSAN 2023-150
60082.877,19.72,0
60082.941,18.15,0
60083.798,15.12,0
# TNSAN 2023-153
60086.89929,11.060,0.003
# TNSAN 2023-156
60090.421,11.1283,0.02
60091.422,11.1885,0.0207
60092.222,11.2145,0.0352
# TNSAN 2023-161
60096.878,11.24,0.027
60093.422,11.2,0.020
# ATel 16046
60085.92490685,11.2,0.1
# doi 10.1038/s41586-023-06843-6
60082.889,19.006,0.443
60082.905,18.632,0.242
60082.944,18.228,0.231
60082.945,17.924,0.19
60082.964,17.594,0.211
60083.024,17.826,0.21
60084.312,13.391,0.152
60084.537,12.83,0.01
60084.539,12.81,0.01
60084.540,12.83,0.01
60084.575,12.76,0.01
60084.598,12.71,0.01
60084.65,12.62,0.01
60088.744,11.11,0.01
60089.541,11.2,0.01
60091.725,11.28,0.01
60091.82,11.31,0.01
60092.746,11.34,0.01
60094.647,11.4,0.01
60094.741,11.39,0.01
60095.699,11.41,0.01
60096.743,11.45,0.01
60097.645,11.51,0.01
60099.546,11.59,0.01
60099.64,11.6,0.01
60099.803,11.58,0.01
60100.581,11.65,0.01
