MJD,mag,uncert
# TNSAN 2023-141
60085.894,11.398,0.011
60086.421,11.272,0.007
60087.907,11.002,0.008
60088.419,11.04,0.007
# TNSAN 2023-142
60086.13263889,11.32,0.01
# TNSAN 2023-143
60086.25,11.304,0.027
60087.229,11.108,0.019
60088.229,11.037,0.019
60089.225,11.043,0.019
# TNSAN 2023-150
60082.877,18.60,0
60082.941,17.67,0
60083.798,14.66,0
# TNSAN 2023-153
60086.89929,11.201,0.002
# TNSAN 2023-155
60094.21257,11.123,0
# TNSAN 2023-156
60090.42,11.1073,0.0108
60091.42,11.089,0.0113
60092.421,11.0857,0.0216
# TNSAN 2023-161
60096.877,11.142,0.012
60095.422,11.068,0.021
60093.421,11.223,0.01
# TNSAN 2023-170
60094.217257,11.123,0.001
60108.248727,11.525,0.002
# Atel 16046
60085.92586008,11.4,0.1
# ATel 16054
60083.590,16.530,0.240
60083.594,15.260,0.240
60083.597,15.050,0.240
60083.601,15.190,0.240
60083.605,14.920,0.240
60083.619,15.260,0.240
60084.699,12.825,0.070
60084.799,11.856,0.060
60086.097,11.446,0.005
60086.180,11.380,0.010
60086.298,11.464,0.018
60086.673,11.946,0.090
60087.850,11.095,0.004
# doi 10.1038/s41586-023-06843-6
60082.847,18.360,0.281
60082.876,18.141,0.215
60082.889,18.041,0.110
60082.906,17.802,0.115
60082.942,17.652,0.112
60082.944,17.678,0.075
60082.974,17.460,0.156
60083.024,17.148,0.059
60083.585,15.065,0.048
60083.592,15.028,0.076
60083.614,14.984,0.080
60083.617,15.061,0.029
60083.617,14.919,0.076
60084.312,13.399,0.063
60084.538,13.10,0.01
60084.539,13.09,0.01
60084.540,13.09,0.01
60084.576,13.02,0.01
60084.599,12.98,0.01
60084.651,12.87,0.01
60085.616,11.86,0.01
60085.700,11.78,0.01
60089.544,11.32,0.01
60089.606,11.32,0.01
60091.637,11.35,0.01
60091.728,11.33,0.01
60091.822,11.34,0.01
60092.750,11.34,0.01
60094.650,11.36,0.01
60094.743,11.36,0.01
60095.702,11.37,0.01
60096.650,11.40,0.01
60096.746,11.41,0.01
60097.648,11.42,0.01
60097.754,11.42,0.01
60098.689,11.448,0.002
60098.795,11.447,0.003
60099.549,11.49,0.01
60099.806,11.51,0.01
60100.584,11.51,0.01
