MJD,mag,uncert
60084.22854000004,13.449,0.029
60084.24103000015,13.513,0.010
60084.87410200015,11.995,0.018
60084.93965600012,11.97,0.009
60085.03906199988,11.93,0.003
60085.04138900014,11.931,0.003
60085.04379600007,11.931,0.003
60085.04611099977,11.919,0.003
60085.048762000166,11.929,0.003
60085.05109999981,11.937,0.003
60085.05340299988,11.936,0.003
60085.055949000176,11.937,0.003
60085.058263999876,11.92,0.003
60085.06057900004,11.913,0.003
60085.13853000011,11.73,0.002
60085.14610000001,11.706,0.002
60085.18169,11.684,0.001
60085.1892599999,11.672,0.001
60085.19682000019,11.672,0.001
60085.20444,11.669,0.001
60085.21203000005,11.665,0.001
60085.21964999987,11.656,0.001
60085.227249999996,11.663,0.001
60085.231039999984,11.65,0.001
60085.23702999996,11.702,0.002
60085.8413999998,11.209,0.009
60085.84359999979,11.201,0.009
60085.84579999978,11.196,0.008
60085.87900000019,11.223,0.003
60085.88883000007,11.158,0.03
60085.89525800012,11.219,0.035
60086.08926999988,11.217,0.023
60086.10037000012,11.117,0.002
60086.10727000004,11.142,0.002
60086.114240000024,11.139,0.001
60086.12117999978,11.132,0.001
60086.12810999993,11.105,0.001
60086.13417199999,11.273,0.004
60086.13505000016,11.099,0.001
60086.140190999955,11.286,0.222
60086.141929999925,11.105,0.001
60086.14533099998,11.323,0.005
60086.14622099977,11.271,0.004
60086.14889999991,11.141,0.001
60086.150894000195,11.328,0.005
60086.1522400002,11.275,0.023
60086.152350000106,11.142,0.001
60086.15758399991,11.307,0.004
60086.158270000014,11.268,0.226
60086.16326799989,11.316,0.003
60086.16429999983,11.265,0.008
60086.16772999987,11.223,0.001
60086.169265999924,11.316,0.003
60086.17031800002,11.27,0.199
60086.17584899999,11.313,0.003
60086.17634799983,11.264,0.008
60086.179159999825,11.11,0.001
60086.182378000114,11.263,0.007
60086.182732000016,11.306,0.003
60086.186050000135,11.125,0.001
60086.189660999924,11.304,0.004
60086.19293999998,11.135,0.001
60086.19987000013,11.118,0.001
60086.20102699986,11.305,0.010
60086.20464699995,11.305,0.008
60086.206780000124,11.11,0.001
60086.21369000012,11.126,0.001
60086.2137000002,11.295,0.009
60086.21723000007,11.297,0.005
60086.22062999988,11.116,0.001
60086.22370899981,11.297,0.005
60086.22751000011,11.133,0.001
60086.23352100002,11.301,0.010
60086.245955000166,10.937,0.009
60086.25198499998,10.973,0.008
60086.258014999796,11.037,0.006
60086.264045000076,11.115,0.005
60086.27007499989,11.172,0.004
60086.27381999977,11.293,0.012
60086.276093999855,11.252,0.004
60086.282124000136,11.286,0.004
60086.28815399995,11.291,0.004
60086.29418400023,11.289,0.004
60086.42170599988,11.067,0.022
60086.440837999806,11.278,0.013
60086.45206400007,11.297,0.016
60086.465813999996,11.306,0.017
60086.47257000022,11.294,0.010
60086.91900700005,11.1509,0.0030
60086.92614000011,11.087,0.003
60086.97100700019,11.061,0.003
60086.972465000115,11.077,0.003
60086.973923999816,11.055,0.003
60086.97537000012,11.081,0.003
60086.97682899982,11.063,0.003
60086.97828700021,11.081,0.003
60086.97973399982,11.046,0.003
60086.98119200021,11.057,0.003
60086.982650000136,11.063,0.003
60086.98410899984,11.056,0.003
60087.047929999884,11.033,0.004
60087.04899699986,11.028,0.005
60087.09762000013,11.094,0.001
60087.10643999977,11.068,0.002
60087.109180000145,11.081,0.002
60087.11200999981,11.076,0.002
60087.11479000002,11.082,0.002
60087.11758999992,11.088,0.002
60087.12042000005,11.058,0.003
60087.12321999995,11.073,0.003
60087.12602999993,11.125,0.003
60087.12887000013,11.102,0.003
60087.131690000184,11.068,0.003
60087.13450999977,11.108,0.003
60087.137349999975,11.118,0.003
60087.14017000003,11.105,0.003
60087.14300000016,11.084,0.003
60087.14469899982,11.152,0.007
60087.14582000021,11.081,0.003
60087.14864999987,11.093,0.003
60087.14920900017,11.146,0.005
60087.15099099977,10.959,0.013
60087.15145999985,11.115,0.003
60087.15347799985,11.145,0.004
60087.1542799999,11.12,0.003
60087.15711000003,11.097,0.003
60087.15781599982,11.141,0.003
60087.1621170002,11.139,0.003
60087.16480999999,11.14,0.2
60087.16642299993,11.144,0.003
60087.17086300021,11.142,0.003
60087.1723600002,11.069,0.007
60087.17469999986,11.04,0.003
60087.175071999896,11.143,0.003
60087.177469999995,11.044,0.003
60087.1793709998,11.138,0.003
60087.18025000021,11.047,0.003
60087.184901,11.133,0.003
60087.19037499977,11.144,0.003
60087.19466000004,11.131,0.003
60087.198938000016,11.139,0.003
60087.202990000136,10.936,0.011
60087.20328099979,11.127,0.003
60087.207560999785,11.131,0.003
60087.21189799998,11.132,0.003
60087.21624800004,11.134,0.003
60087.22053800011,11.136,0.003
60087.22484199982,11.126,0.003
60087.23107799981,11.132,0.003
60087.23576299986,11.133,0.003
60087.24009199999,11.131,0.003
60087.24441500008,11.137,0.003
60087.24878000002,11.13,0.003
60087.25303399982,11.135,0.003
60087.25740099978,11.128,0.003
60087.26170200016,11.126,0.003
60087.26601300016,11.122,0.003
60087.270775999874,11.128,0.003
60087.27719100006,11.131,0.003
60087.28302199999,11.121,0.003
60087.28817000007,11.119,0.003
60087.29247999983,11.13,0.003
60087.296682999935,11.141,0.004
60087.301159000024,11.134,0.003
60087.30531999981,11.125,0.003
60087.30972100003,11.132,0.003
60087.31405600021,11.117,0.003
60087.31835900014,11.123,0.003
60087.32029000018,10.997,0.006
