MJD,mag,uncert
60084.23957000021,13.522,0.058
60084.25600000005,13.404,0.016
60084.95295100007,12.137,0.023
60084.95369199989,12.112,0.034
60084.95444400003,12.227,0.047
60084.955196999945,12.162,0.074
60085.14378000004,12.055,0.003
60085.15144000016,12.048,0.003
60085.18693999993,12.023,0.002
60085.194540000055,12.014,0.002
60085.20214000018,12.001,0.002
60085.20972999977,11.996,0.002
60085.21735000005,11.976,0.002
60085.2249400001,11.97,0.002
60085.23252000008,11.966,0.002
60085.240120000206,11.962,0.002
60085.243910000194,11.957,0.003
60085.88587999996,11.431,0.02
60086.09591000015,11.396,0.007
60086.10493999999,11.463,0.002
60086.111920000054,11.45,0.002
60086.11886999989,11.434,0.002
60086.125810000114,11.433,0.002
60086.13273000019,11.436,0.002
60086.13816000009,11.342,0.173
60086.13963000011,11.44,0.002
60086.14417799981,11.346,0.170
60086.14659000002,11.443,0.002
60086.150208000094,11.348,0.169
60086.15351000009,11.434,0.002
60086.15622700006,11.343,0.169
60086.15700000012,11.431,0.002
60086.15830999985,11.321,0.002
60086.16225699987,11.351,0.164
60086.16828700015,11.336,0.079
60086.17430600012,11.342,0.157
60086.18033599993,11.339,0.079
60086.183739999775,11.425,0.002
60086.19064999977,11.42,0.002
60086.19755999977,11.416,0.002
60086.20446000015,11.415,0.002
60086.211380000226,11.408,0.002
60086.21829999983,11.407,0.002
60086.22520000022,11.402,0.002
60086.232119999826,11.398,0.002
60086.280092999805,11.323,0.004
60086.286110999994,11.343,0.005
60086.29214099981,11.349,0.005
60086.29817100009,11.354,0.005
60086.93628299981,11.188,0.070
60086.93703099992,11.252,0.007
60086.937779999804,11.262,0.024
60086.93852900015,11.046,0.272
60087.10684000002,11.191,0.003
60087.10963999992,11.188,0.003
60087.11664000014,11.177,0.003
60087.1194699998,11.211,0.003
60087.12226000009,11.194,0.003
60087.12508000014,11.207,0.003
60087.12790999981,11.189,0.003
60087.13072999986,11.182,0.003
60087.132139999885,11.183,0.003
60087.13498000009,11.184,0.003
60087.14203999983,11.19,0.003
60087.144859999884,11.193,0.003
60087.14769000001,11.218,0.003
60087.150510000065,11.197,0.003
60087.15333000012,11.182,0.003
60087.15615999978,11.172,0.003
60087.16215000022,11.163,0.006
60087.1709400001,11.204,0.003
60087.17199999979,11.1,0.1
60087.17374,11.197,0.003
60087.17652999982,11.211,0.003
60087.17928999988,11.211,0.003
60087.18772999989,11.183,0.006
60087.19056000002,11.212,0.004
60087.88834000006,11.039,0.005
60087.94927099999,11.185,0.016
60087.95002300013,11.178,0.070
60087.9507749998,11.085,0.006
60088.11335999984,11.09,0.002
60088.11818000022,11.086,0.002
60088.1182599999,10.996,0.001
60088.123079999816,11.082,0.002
60088.132770000026,11.084,0.002
60088.13448000001,11.015,0.002
60088.13514999999,11.093,0.002
60088.1490600002,11.017,0.002
60088.16178999981,11.017,0.002
60088.9521639999,11.129,0.069
60088.95256899996,11.099,0.081
60088.95296300016,11.065,0.086
60088.95336800022,11.08,0.069
60088.95377299981,11.042,0.118
60088.96319000004,11.0,0.005
60089.17958000023,11.031,0.003
60089.354410000145,10.993,0.009
60089.35545000015,10.99,0.009
60089.35596999992,11.003,0.009
60089.35649000015,10.992,0.009
60089.35703000007,10.959,0.009
60089.88125000009,10.896,0.02
60089.936042000074,11.157,0.007
60089.93643500004,11.151,0.040
60089.9368400001,11.13,0.031
60089.937245000154,11.161,0.008
60089.937638999894,11.209,0.034
60089.93804399995,11.109,0.009
60089.97526000021,10.981,0.005
60090.089219999965,10.932,0.008
60090.10154000018,11.006,0.002
60090.12474999996,10.941,0.002
60090.13406000007,10.942,0.001
60090.143360000104,10.938,0.001
60090.2567400001,10.958,0.004
60090.25728000002,10.968,0.004
60090.25781999994,10.977,0.004
60090.25836999994,10.987,0.004
60090.25890999986,10.979,0.004
60090.2662800001,10.963,0.004
60090.266830000095,10.982,0.004
60090.267370000016,10.975,0.004
60090.26792000001,10.972,0.004
60090.268459999934,10.977,0.004
60090.91709000012,10.909,0.003
60090.919429999776,10.917,0.003
60090.92411000002,10.956,0.005
60090.93221999984,10.913,0.003
60090.934559999965,10.919,0.003
60090.93690000009,10.917,0.003
60090.93924000021,10.915,0.003
60090.94156999979,10.917,0.003
60090.943909999914,10.913,0.003
60090.944440000225,10.842,0.074
60090.94625000004,10.91,0.003
60090.94859000016,10.927,0.003
60090.95092999982,10.912,0.003
60090.953259999864,10.912,0.003
60090.960880000144,11.132,0.105
60090.9612850002,11.195,0.041
60090.96168999979,11.12,0.078
60090.962083000224,11.184,0.007
60090.962487999815,11.184,0.020
60090.96289400011,11.134,0.017
60091.086130000185,10.983,0.005
60091.11799000017,10.988,0.002
60091.20215999987,10.885,0.027
60091.206110000145,10.883,0.012
60091.873070000205,10.843,0.02
60091.95100999996,10.719,0.008
60091.951018999796,10.89,0.101
60091.95142399985,10.978,0.054
60091.95181699982,11.085,0.071
60091.952221999876,11.078,0.023
60091.95262699993,10.979,0.078
60091.95302100014,11.067,0.014
60091.967399999965,10.924,0.005
60092.286989999935,10.9,0.004
60092.286989999935,10.898,0.004
60092.287529999856,10.913,0.004
60092.287529999856,10.915,0.004
60092.28807999985,10.91,0.004
60092.28807999985,10.912,0.004
60092.288619999774,10.894,0.004
60092.288619999774,10.896,0.004
60092.28916999977,10.907,0.004
60092.28916999977,10.905,0.004
60092.2966,10.914,0.004
60092.2966,10.916,0.004
60092.29713999992,10.915,0.004
60092.29713999992,10.913,0.004
60092.29768999992,10.909,0.004
60092.29768999992,10.911,0.004
60092.29822999984,10.904,0.004
60092.29822999984,10.901,0.004
60092.29877000023,10.907,0.004
60092.29877000023,10.909,0.004
60092.9336600001,10.683,0.008
60093.12213000003,10.912,0.002
60093.20043999981,10.84,0.030
60093.873023999855,10.88,0.006
60093.87626900012,10.87,0.005
60093.87906299997,10.864,0.003
60093.882278000005,10.868,0.004
60093.889990000054,10.839,0.005
60093.94583299989,10.907,0.015
60093.946227000095,10.923,0.046
60093.94703700021,10.916,0.006
60094.3297319999,10.83,0.001
60094.878748000134,10.843,0.021
60094.9016900002,10.845,0.005
60095.15358000016,10.817,0.002
60095.16288000019,10.815,0.002
60095.17220999999,10.808,0.001
60095.27279999992,10.791,0.022
60095.93409699993,10.885,0.035
60095.934907000046,10.86,0.006
60096.07372999983,10.739,0.021
60096.388939999975,10.78,0.004
60096.38942999998,10.79,0.004
60096.39001000021,10.788,0.004
60096.3905199999,10.788,0.005
60096.89296999993,10.728,0.02
60097.24231000012,10.792,0.004
60097.2428100002,10.782,0.004
60097.243309999816,10.772,0.004
60097.2438099999,10.775,0.004
60097.29015999986,10.797,0.004
60097.29073000001,10.788,0.004
60097.291240000166,10.785,0.004
60097.291819999926,10.782,0.004
60097.905819999985,10.816,0.005
60098.4631500002,10.831,0.005
60098.46681000013,10.821,0.005
60098.46723000007,10.846,0.005
60098.46767000016,10.847,0.005
60098.90030199988,10.824,0.003
60098.90085500013,10.837,0.003
60098.90140799992,10.845,0.003
