MJD,mag,uncert
60084.94946799986,12.283,0.024
60084.95022,12.278,0.039
60084.95097200014,12.315,0.026
60084.95171299996,12.292,0.046
60084.98736099992,12.084,0.003
60084.98969900003,12.082,0.003
60084.99231499992,12.081,0.003
60084.99493099982,12.077,0.003
60084.9972219998,12.066,0.003
60084.99954900006,12.065,0.003
60085.00184000004,12.075,0.003
60085.0041319998,12.068,0.003
60085.006469999906,12.063,0.003
60085.008958000224,12.066,0.003
60085.23926999979,11.861,0.007
60085.83999999985,11.379,0.003
60085.84219999984,11.381,0.003
60085.84439999983,11.376,0.003
60085.88071000017,11.44,0.004
60085.88656000001,11.398,0.02
60086.13701999979,11.396,0.141
60086.14305000007,11.395,0.003
60086.14533099998,11.306,0.006
60086.149067999795,11.389,0.140
60086.150894000195,11.314,0.006
60086.155098000076,11.392,0.139
60086.15758399991,11.292,0.007
60086.16112799989,11.391,0.138
60086.16326799989,11.291,0.005
60086.167146999855,11.378,0.064
60086.169265999924,11.285,0.006
60086.173177000135,11.383,0.137
60086.17584899999,11.29,0.005
60086.1791960001,11.379,0.063
60086.182732000016,11.286,0.004
60086.185225999914,11.382,0.062
60086.189660999924,11.292,0.005
60086.20102699986,11.284,0.009
60086.20464699995,11.258,0.010
60086.2137000002,11.29,0.009
60086.21723000007,11.271,0.013
60086.22370899981,11.287,0.007
60086.23352100002,11.307,0.016
60086.27381999977,11.269,0.015
60086.27895299997,11.371,0.003
60086.28498299979,11.383,0.003
60086.29101300007,11.381,0.003
60086.29703099979,11.383,0.003
60086.440837999806,11.292,0.021
60086.45206400007,11.256,0.018
60086.465813999996,11.309,0.019
60086.47257000022,11.274,0.011
60086.92323999992,11.0377,0.0032
60086.933685000055,11.239,0.023
60086.93443300016,11.334,0.015
60086.935182000045,11.314,0.027
60086.94890000019,11.09,0.0069
60086.956412000116,11.112,0.002
60086.95785900019,11.114,0.002
60086.95931700012,11.109,0.002
60086.96077500004,11.115,0.002
60086.96223400021,11.111,0.002
60086.963692000136,11.111,0.002
60086.96515000006,11.112,0.002
60086.96660900023,11.109,0.002
60086.968067000154,11.121,0.002
60086.96951400023,11.105,0.002
60087.05115099996,11.122,0.001
60087.052072000224,11.12,0.001
60087.05298499996,11.127,0.001
60087.14469899982,11.094,0.007
60087.14920900017,11.09,0.005
60087.15347799985,11.102,0.004
60087.15781599982,11.079,0.004
60087.1621170002,11.088,0.004
60087.16642299993,11.093,0.004
60087.169610000215,11.107,0.1
60087.17086300021,11.082,0.005
60087.175071999896,11.087,0.004
60087.1793709998,11.077,0.004
60087.184901,11.088,0.004
60087.19037499977,11.071,0.004
60087.19466000004,11.073,0.004
60087.198938000016,11.078,0.004
60087.20328099979,11.069,0.004
60087.20565999998,11.087,0.010
60087.207560999785,11.068,0.004
60087.21189799998,11.066,0.004
60087.21624800004,11.062,0.004
60087.22053800011,11.065,0.004
60087.22484199982,11.083,0.004
60087.23107799981,11.064,0.004
60087.23576299986,11.061,0.004
60087.24009199999,11.063,0.004
60087.24441500008,11.053,0.005
60087.24878000002,11.07,0.004
60087.25303399982,11.074,0.004
60087.25740099978,11.07,0.004
60087.26170200016,11.062,0.005
60087.26601300016,11.077,0.004
60087.270775999874,11.046,0.004
60087.27719100006,11.066,0.004
60087.28302199999,11.064,0.004
60087.28817000007,11.074,0.004
60087.29247999983,11.052,0.005
60087.296682999935,11.051,0.005
60087.301159000024,11.037,0.004
60087.30531999981,11.034,0.005
60087.30972100003,11.066,0.004
60087.31405600021,11.056,0.004
60087.31835900014,11.063,0.004
60087.322240000125,11.137,0.014
60087.32256799983,11.07,0.005
60087.329671999905,10.983,0.006
60087.33311499981,11.021,0.006
60087.337921000086,11.04,0.004
60087.342834999785,11.067,0.007
60087.35034399992,11.063,0.005
60087.356337999925,11.054,0.004
60087.3604319999,11.051,0.005
60087.36494999984,11.082,0.004
60087.3693169998,11.068,0.005
60087.37359600002,11.056,0.004
60087.377902999986,11.032,0.005
60087.38221899979,11.037,0.004
60087.38653700007,11.061,0.004
60087.39081900008,11.048,0.005
60087.39665699983,11.059,0.005
60087.40239599999,11.03,0.005
60087.406591000035,11.005,0.005
60087.41098699998,11.042,0.005
60087.415173999965,11.013,0.005
60087.419704,11.051,0.006
60087.42378999991,11.028,0.005
60087.428183999844,11.041,0.004
60087.43240799988,11.06,0.005
60087.436962000094,11.052,0.005
60087.44302499993,11.113,0.005
60087.447829000186,11.046,0.005
60087.45221999986,10.995,0.006
60087.4565150002,11.024,0.006
60087.46073599998,11.025,0.007
60087.46489199996,10.99,0.007
60087.468847999815,11.048,0.012
60087.860489999875,11.029,0.0046
60087.8868900002,10.954,0.003
60087.93005000008,11.023,0.004
60087.93583300011,11.011,0.002
60087.93729199981,10.999,0.002
60087.938750000205,11.001,0.002
60087.94020800013,11.045,0.002
60087.94166699983,11.017,0.002
60087.94311300013,11.039,0.002
60087.94457199983,11.018,0.002
60087.946030000225,11.035,0.002
60087.946851999965,11.256,0.214
60087.9476040001,11.296,0.083
60087.948344999924,11.361,0.138
60088.11803000001,11.104,0.039
60088.14572199993,11.086,0.007
60088.15078500006,11.076,0.005
60088.15167000005,11.006,0.002
60088.15612899978,11.082,0.005
60088.16123200022,11.068,0.005
60088.16422000015,11.005,0.002
60088.16645799996,11.08,0.005
60088.17171599995,11.084,0.005
60088.17696999991,11.083,0.005
