MJD,mag,uncert
60084.227419999894,13.523,0.011
60084.234180000145,13.583,0.011
60084.45209999988,13.05,0.003
60084.89567,12.226,0.006
60084.935432000086,12.268,0.005
60084.939338000026,12.107,0.002
60084.941686999984,12.113,0.015
60084.94399099983,12.112,0.016
60084.94630199997,12.11,0.018
60084.94864600012,12.108,0.016
60084.95095699979,12.097,0.013
60085.141480000224,11.999,0.002
60085.14912000019,11.988,0.002
60085.184659999795,11.953,0.002
60085.19224999985,11.949,0.002
60085.19982999982,11.936,0.002
60085.200044000056,11.959,0.046
60085.20410900004,11.955,0.015
60085.20744000003,11.922,0.002
60085.20763000008,11.828,0.053
60085.20860000001,11.923,0.053
60085.21130600013,11.95,0.015
60085.21131000016,11.882,0.053
60085.212280000094,11.946,0.053
60085.21325000003,11.88,0.053
60085.214219999965,11.91,0.053
60085.21503000008,11.918,0.002
60085.2151899999,11.918,0.053
60085.216159999836,11.871,0.053
60085.21713999985,11.896,0.053
60085.21810999978,11.9,0.053
60085.218495000154,11.946,0.015
60085.219080000184,11.865,0.053
60085.22005000012,11.847,0.053
60085.221020000055,11.9,0.053
60085.22198999999,11.895,0.053
60085.22263999982,11.911,0.002
60085.22297,11.904,0.053
60085.22393999994,11.913,0.053
60085.22490999987,11.93,0.053
60085.22581500001,11.939,0.015
60085.23022999987,11.908,0.002
60085.23295400012,11.934,0.015
60085.23781999992,11.905,0.002
60085.23824999994,11.9,0.004
60085.241619999986,11.908,0.002
60085.242759000044,11.927,0.015
60085.250339999795,11.921,0.014
60085.25755399978,11.911,0.015
60085.26472900016,11.907,0.015
60085.27201699978,11.899,0.015
60085.27954200003,11.895,0.015
60085.28933200007,11.893,0.014
60085.29664100008,11.886,0.015
60085.30384000018,11.881,0.014
60085.31099899998,11.876,0.015
60085.318285000045,11.863,0.015
60085.326009000186,11.862,0.015
60085.33523100009,11.862,0.015
60085.34159700014,11.862,0.041
60085.35834199982,11.846,0.020
60085.36665500002,11.835,0.017
60085.374170999974,11.831,0.016
60085.38072100002,11.827,0.017
60085.38863700023,11.821,0.015
60085.39595700009,11.815,0.016
60085.40541899996,11.809,0.017
60085.41285499977,11.806,0.016
60085.420003999956,11.807,0.016
60085.428971000016,11.799,0.016
60085.43719300022,11.794,0.016
60085.44423499983,11.79,0.016
60085.45156199997,11.788,0.017
60085.45934400009,11.784,0.017
60085.46631499985,11.779,0.020
60085.473139000125,11.783,0.064
60085.474291999824,11.536,0.009
60085.84070000006,11.432,0.005
60085.84290000005,11.429,0.005
60085.845100000035,11.431,0.005
60085.86528000003,11.368,0.01
60085.87984000007,11.455,0.003
60085.88751999987,11.428,0.02
60085.89421400009,11.398,0.011
60086.0802000002,11.287,0.022
60086.102669999935,11.378,0.001
60086.10852999985,11.323,0.009
60086.10961999977,11.386,0.001
60086.11657000007,11.366,0.001
60086.12348000007,11.376,0.001
60086.1269700001,11.375,0.001
60086.13032200001,11.15,0.001
60086.13389000017,11.394,0.001
60086.13602400012,11.345,0.184
60086.14205399994,11.338,0.003
60086.14533099998,11.329,0.004
60086.14808400022,11.332,0.003
60086.150894000195,11.329,0.005
60086.15121999988,11.377,0.001
60086.15410300018,11.343,0.003
60086.15469000023,11.368,0.001
60086.15758399991,11.317,0.004
60086.160133,11.335,0.176
60086.16326799989,11.322,0.003
60086.16615199996,11.329,0.083
60086.169265999924,11.317,0.004
60086.169420000166,11.305,0.050
60086.17021000013,11.329,0.050
60086.171010000166,11.351,0.050
60086.1718100002,11.334,0.050
60086.17218199978,11.331,0.175
60086.172609999776,11.345,0.050
60086.173409999814,11.346,0.050
60086.17420999985,11.336,0.050
60086.17500999989,11.353,0.050
60086.17579999985,11.359,0.050
60086.17584899999,11.315,0.004
60086.17659999989,11.326,0.050
60086.17739999993,11.341,0.050
60086.178199999966,11.341,0.050
60086.17821200006,11.33,0.082
60086.179000000004,11.325,0.050
60086.17980000004,11.345,0.050
60086.18060000008,11.341,0.050
60086.18140000012,11.363,0.050
60086.18143999996,11.359,0.001
60086.182200000156,11.337,0.050
60086.182732000016,11.314,0.003
60086.18299000012,11.311,0.050
60086.183790000156,11.369,0.050
60086.18422999978,11.333,0.079
60086.18424999993,11.325,0.069
60086.18459000019,11.302,0.050
60086.18539000023,11.354,0.050
60086.186189999804,11.319,0.050
60086.18698999984,11.32,0.050
60086.18778999988,11.348,0.050
60086.188370000105,11.362,0.001
60086.18858999992,11.323,0.050
60086.189389999956,11.357,0.050
60086.189660999924,11.313,0.004
60086.190189999994,11.328,0.050
60086.19099000003,11.311,0.050
60086.19179000007,11.28,0.050
60086.19259000011,11.31,0.050
60086.193390000146,11.305,0.050
60086.194190000184,11.316,0.050
60086.19499000022,11.358,0.050
60086.1952800001,11.357,0.001
60086.195780000184,11.317,0.050
60086.19658000022,11.317,0.050
60086.19738999987,11.315,0.050
60086.19818999991,11.313,0.050
60086.198989999946,11.327,0.050
60086.19977999991,11.308,0.050
60086.200579999946,11.329,0.050
60086.20102699986,11.31,0.006
60086.20139000006,11.275,0.050
60086.20218000002,11.312,0.050
60086.2021900001,11.358,0.001
60086.202990000136,11.359,0.050
60086.203790000174,11.333,0.050
60086.20459000021,11.364,0.050
60086.20464699995,11.308,0.006
60086.205389999785,11.351,0.050
60086.20618000021,11.32,0.050
60086.206979999784,11.321,0.050
60086.20777999982,11.308,0.050
60086.20857999986,11.333,0.050
60086.20909000002,11.355,0.001
60086.209389999975,11.283,0.050
60086.21019000001,11.295,0.050
60086.21099000005,11.313,0.050
60086.21179000009,11.329,0.050
60086.21258000005,11.302,0.050
60086.21338000009,11.34,0.050
60086.2137000002,11.305,0.007
60086.2141900002,11.332,0.050
60086.214980000164,11.321,0.050
60086.21578999981,11.289,0.050
60086.21602999978,11.351,0.001
60086.21658999985,11.314,0.050
60086.21723000007,11.306,0.007
60086.21875,11.32,0.03
60086.221789999865,11.299,0.050
60086.2225899999,11.324,0.050
60086.22291000001,11.343,0.001
60086.223379999865,11.307,0.050
60086.22370899981,11.303,0.005
60086.2241799999,11.308,0.050
60086.22497999994,11.321,0.050
60086.22577999998,11.3,0.050
60086.22658000002,11.284,0.050
60086.22736999998,11.353,0.050
60086.22817000002,11.312,0.050
60086.228970000055,11.338,0.050
60086.22977000009,11.348,0.050
60086.229830000084,11.343,0.001
60086.23057000013,11.294,0.050
60086.23137000017,11.309,0.050
60086.23217999982,11.329,0.050
60086.232979999855,11.319,0.050
60086.233260000125,11.341,0.001
60086.23352100002,11.31,0.010
60086.23377999989,11.337,0.050
60086.23457999993,11.317,0.050
60086.23537999997,11.294,0.050
60086.23618000001,11.314,0.050
60086.236980000045,11.323,0.050
60086.23778000008,11.339,0.050
60086.238570000045,11.316,0.050
60086.23938000016,11.319,0.050
60086.2401800002,11.306,0.050
60086.24097999977,11.286,0.050
60086.24177999981,11.318,0.050
60086.24256999977,11.31,0.050
60086.24336999981,11.336,0.050
60086.244169999845,11.324,0.050
60086.24496999988,11.328,0.050
60086.24781800015,11.011,0.006
60086.253847999964,11.047,0.005
60086.25987799978,11.121,0.005
60086.265908999834,11.185,0.004
60086.27192700002,11.253,0.003
60086.27381999977,11.289,0.013
60086.27795699984,11.327,0.003
60086.28398700012,11.355,0.003
60086.290016999934,11.347,0.003
60086.296047000214,11.352,0.003
60086.37585100019,10.954,0.009
60086.42067700019,11.272,0.007
60086.440837999806,11.286,0.039
60086.45206400007,11.303,0.048
60086.465813999996,11.32,0.059
60086.47257000022,11.315,0.059
60086.83559100004,11.1882,0.0062
60086.8369880002,11.191,0.0061
60086.839786000084,11.1849,0.0049
60086.84118800005,11.1829,0.0048
60086.842588,11.1826,0.0048
60086.84398900019,11.1745,0.0048
60086.845389999915,11.1862,0.0048
60086.846791000105,11.1823,0.0047
60086.848191000056,11.1867,0.0047
60086.84959199978,11.1816,0.0047
60086.85099299997,11.1906,0.0047
60086.85239400016,11.1819,0.0047
60086.85379600013,11.1858,0.0047
60086.85519699985,11.1803,0.0047
60086.85659899982,11.1891,0.0047
60086.85800000001,11.1839,0.0046
60086.85866999999,11.108,0.003
60086.8594010002,11.1815,0.0046
60086.86080300016,11.1856,0.0046
60086.86220399989,11.181,0.0046
60086.86640799977,11.1794,0.0047
60086.86780899996,11.1844,0.0047
60086.869210999925,11.1817,0.0047
60086.870612000115,11.1792,0.0048
60086.87201299984,11.1787,0.0048
60086.873414999805,11.1803,0.0047
60086.874815999996,11.1755,0.0047
60086.87621799996,11.1741,0.0047
60086.87761999993,11.1702,0.0047
60086.87902199989,11.1741,0.0049
60086.88042399986,11.1696,0.0066
60086.91478399979,11.2602,0.0029
60086.941829000134,11.103,0.002
60086.94328700006,11.088,0.002
60086.944734000135,11.092,0.002
60086.94619200006,11.092,0.002
60086.94764999999,11.093,0.002
60086.94909700006,11.095,0.002
60086.95055600023,11.079,0.002
60086.952014000155,11.083,0.002
60086.95347200008,11.095,0.003
60086.95493099978,11.097,0.003
60086.96100000013,11.1714,0.0028
60086.981099999975,11.239,0.0036
60086.981829999946,11.229,0.0035
60086.98255999992,11.232,0.0035
60086.98328999989,11.229,0.0035
60086.98401999986,11.228,0.0036
60087.04310999997,11.112,0.013
60087.044462999795,11.169,0.002
60087.045566000044,11.173,0.002
60087.046682999935,11.168,0.002
60087.04844000004,11.098,0.012
60087.053809999954,11.109,0.007
60087.099839999806,11.127,0.001
60087.10589999985,11.149,0.002
60087.108700000215,11.142,0.002
60087.113189999945,11.092,0.003
60087.11571000004,11.137,0.002
60087.1174300001,11.084,0.002
60087.118530000094,11.144,0.002
60087.12131999992,11.144,0.002
60087.12166999979,11.083,0.002
60087.124129999895,11.148,0.002
60087.125909999944,11.083,0.002
60087.1269700001,11.143,0.002
60087.1301500001,11.061,0.002
60087.132619999815,11.125,0.002
60087.13438999979,11.069,0.003
60087.13544999994,11.139,0.002
60087.13828000007,11.141,0.002
60087.13861999987,11.069,0.004
60087.14286000002,11.051,0.003
60087.14393999986,11.124,0.002
60087.14469899982,11.119,0.004
60087.146759999916,11.131,0.002
60087.1470900001,11.131,0.009
60087.14920900017,11.116,0.003
60087.14956999989,11.15,0.002
60087.15132000018,11.064,0.009
60087.15240000002,11.136,0.002
60087.152681000065,11.157,0.011
60087.15347799985,11.118,0.003
60087.15522000007,11.117,0.002
60087.15781599982,11.115,0.003
60087.1621170002,11.111,0.003
60087.16417999985,11.149,0.050
60087.16509999987,11.075,0.050
60087.16600999981,11.101,0.050
60087.16642299993,11.116,0.003
60087.16692999983,11.13,0.050
60087.1672100001,11.16,0.1
60087.167839999776,11.109,0.050
60087.168750000186,11.128,0.050
60087.16967000021,11.118,0.050
60087.17004999984,11.123,0.002
60087.17058000015,11.109,0.050
60087.17086300021,11.114,0.003
