MJD,mag,uncert
# RNAAS 7 (2023) 141
60083.0545545,16.69,0.33
60083.11786388,16.52,0.19
60083.14937149,16.47,0.22
60083.18512106,16.16,0.3
60083.19983746,16.16,0.23
60083.25593836,16.12,0.22
60083.54332791,15.2,0.1
60083.88025622,14.67,0.14
60084.14841869,13.93,0.09
60084.15168851,13.92,0.15
60084.22514694,13.71,0.05
60084.23347433,13.75,0.15
60084.23745907,13.67,0.08
60084.24245577,13.68,0.05
60084.47232741,13.08,0.15
60084.50241008,12.98,0.1
60084.89357038,12.49,0.16
60084.95974285,12.34,0.07
60085.04940854,12.26,0.06
60085.10389861,12.17,0.25
60085.12441038,12.15,0.13
60085.13266293,12.11,0.08
60085.137212,12.06,0.47
60085.15758948,11.95,0.13
60085.16281501,12.08,0.06
60085.16974107,12.04,0.08
60085.18581634,12.03,0.07
60085.21221082,12.12,0.08
60085.23925804,11.93,0.06
60085.3161595,11.94,0.03
60085.50175716,11.88,0.32
60085.54500632,11.58,0.51
60085.59410744,11.85,0.08
60085.62211503,11.82,0.11
60085.87286505,11.51,0.25
60085.877797,11.6,0.04
60085.8833126,11.71,0.11
60085.91158899,11.56,0.12
60085.93309873,11.58,0.12
60085.95956537,11.6,0.07
60085.96009367,11.58,0.05
60085.97752008,11.51,0.08
60086.08013639,11.51,0.05
60086.092144,11.45,0.11
60086.09325609,11.36,0.16
60086.09700207,11.52,0.05
60086.10385422,11.71,0.6
60086.11915699,11.74,0.17
60086.13670834,11.56,0.17
60086.13930628,11.58,0.11
60086.22004109,11.53,0.07
60086.22754589,11.48,0.09
60086.22804155,11.43,0.12
60086.25300446,11.51,0.13
60086.60450921,11.72,0.13
60086.87631469,11.4,0.19
60086.87881968,11.38,0.09
60086.87940443,10.94,0.11
60086.88278524,11.23,0.04
60086.88921372,11.21,0.08
60086.93906071,11.24,0.17
60086.99119547,11.33,0.11
60086.99843787,11.37,0.06
60087.06943819,11.27,0.14
60087.08308481,11.19,0.08
60087.10855968,11.37,0.16
60087.12106028,11.06,0.61
60087.14471665,11.44,0.13
60087.18597145,11.09,0.05
60087.19384597,11.2,0.11
60087.20002773,11.16,0.04
60087.20410527,11.31,0.1
60087.23001241,11.11,0.07
60087.27903447,11.32,0.08
60087.53958695,11.27,0.09
60087.55720711,11.49,0.4
60087.87389747,11.1,0.07
60087.89853085,11.11,0.08
60088.10357448,11.3,0.22
60088.15618375,11.16,0.13
60088.15809064,11.2,0.1
60088.19204506,11.05,0.08
60088.49936671,11.08,0.07
60088.87874597,11.06,0.04
60088.88231884,11.09,0.09
60088.90119325,11.17,0.08
60088.92232734,11.15,0.08
60088.94169448,11.09,0.06
60088.95399893,11.13,0.03
60089.12526107,11.09,0.06
60089.12846866,11.03,0.17
60089.18385738,11.17,0.5
60089.19900224,11.1,0.1
60089.20274216,11.11,0.08
60089.34513117,11.08,0.03
60089.86447909,10.85,0.1
60089.88142123,11.51,0.4
60089.88396771,11.12,0.07
60089.91570344,11.12,0.04
60090.10751947,11.12,0.08
60090.12800607,11.16,0.18
60090.24355219,11.14,0.03
60090.85853212,11.11,0.04
60090.88567032,10.9,0.13
60090.90214943,11.11,0.05
60090.98468153,11.15,0.04
60091.07648829,11.13,0.07
60091.08206817,11.16,0.06
60091.0854197,11.11,0.06
60091.12789215,11.12,0.08
60091.13525966,11.13,0.06
60091.17486363,11.15,0.08
60091.17795953,11.1,0.06
60091.17988654,11.13,0.06
60091.52269013,11.13,0.07
60091.93200237,11.15,0.04
60091.96563017,11.12,0.05
60091.99225782,11.2,0.07
60092.12273802,11.08,0.09
60092.21390183,11.37,0.06
60092.29042109,11.22,0.16
60092.85376569,11.16,0.07
60092.91624997,11.44,0.4
60092.9283344,11.07,0.1
60092.97240903,11.21,0.07
60093.06464362,11.23,0.07
60093.13736154,11.15,0.07
60093.87757455,11.04,0.05
60093.90013647,11.25,0.04
60093.90262836,11.2,0.06
60093.92810438,11.09,0.16
60094.0790902,11.2,0.1
60094.15197568,11.17,0.08
60094.15721456,11.11,0.09
60094.88044345,11.25,0.28
60094.93048234,11.19,0.1
60095.07605208,11.19,0.08
60095.07684775,11.18,0.17
60095.08228043,11.09,0.07
60095.11399757,11.18,0.49
60095.12092624,11.18,0.08
60095.12446607,11.22,0.08
60095.13373553,11.08,0.17
60095.16127751,11.13,0.08
60095.17892019,11.08,0.05
60095.19885802,11.09,0.1
60095.48618458,11.13,0.09
60095.534723,11.13,0.05
60095.89788108,11.16,0.04
60095.93738901,11.19,0.08
60095.94060091,11.19,0.13
60096.0006387,11.15,0.07
60096.07022925,10.97,0.09
60096.07502465,11.39,0.31
60096.07616009,11.22,0.11
60096.10570639,11.03,0.09
60096.13008461,11.18,0.07
60096.13480644,11.15,0.12
60096.16265649,11.18,0.19
60096.18801906,11.03,0.11
60096.8978715,11.24,0.1
60096.92468061,11.19,0.08
60097.11915414,11.12,0.16
60097.12294112,11.19,0.09
60097.12312896,11.18,0.04
60097.12500642,11.44,0.75
60097.27830688,11.29,0.17
60097.92710262,11.36,0.05
60098.07941544,11.18,0.06
60098.24065313,11.2,0.08
60098.49311551,11.2,0.09
60098.55968351,11.31,0.08
60098.93752087,11.21,0.05
60098.94594974,11.27,0.07
60099.09213183,11.22,0.06
60099.22351998,11.14,0.14
60099.26086003,11.28,0.13
60099.90673105,11.3,0.14
60099.91615352,11.2,0.05
60100.14526685,11.27,0.22
60100.21948821,11.25,0.13
60100.8987694,11.3,0.1
60100.90545481,11.24,0.04
60100.90711954,11.33,0.04
60100.9088924,11.24,0.03
60101.27613907,11.38,0.11
60101.89001427,11.31,0.1
60102.12016976,11.28,0.11
60102.31103747,11.4,0.09
60103.12213997,11.41,0.38
60103.23956456,11.64,0.43
60103.89114447,11.36,0.11
60103.92573341,11.37,0.03
60104.17522955,11.41,0.08
60104.86694566,11.53,0.1
60104.92189532,11.39,0.03
60105.13545328,11.39,0.05
60105.17457553,11.53,0.14
60105.93603985,11.57,0.02
60106.91490223,11.54,0.04
60106.92395047,11.53,0.05
60107.25636663,11.57,0.11
60107.90768807,11.57,0.06
60107.90810534,11.59,0.07
60107.92853456,11.6,0.08
60108.27036117,11.55,0.11
60108.89896262,11.65,0.11
60108.90423535,11.6,0.05
60108.91414406,11.63,0.05
60109.88925249,11.69,0.08
60109.90701764,11.67,0.08
60109.91740791,11.69,0.07
60109.92247762,11.66,0.04
60109.94160878,11.63,0.07
60109.96032673,11.65,0.04
60110.00679962,11.79,0.16
60110.14572012,11.69,0.09
60110.16996154,11.65,0.03
60110.17831189,11.65,0.11
60110.9043123,11.72,0.09
60110.91351935,11.69,0.1
60111.12585804,11.67,0.13
60111.22245521,11.74,0.07
60111.52573447,11.67,0.06
60111.63344733,11.82,0.05
60111.89756655,11.67,0.07
60111.99532645,11.72,0.09
60112.22777123,11.69,0.04
60112.51953381,11.69,0.06
60112.87774427,11.71,0.14
60112.88986608,11.76,0.09
60112.94270495,11.72,0.07
60112.95708779,11.73,0.05
60113.85943431,11.75,0.08
60114.10923636,11.72,0.13
