MJD,mag,uncert
# TNSAN 2023-120
60083.3229977,15.87,0.01
# TNSAN 2023-119
60083.92314,13.94,0
# TNSAN 2023-154
60092.305,10.98,0.01
# TNSAN 2023-161
60107.244,11.45,0.01
60112.262,11.73,0.01
60116.235,12.07,0.01
# TNSAN 2023-190
60118.316,11.93,0.01
# ATel 16046
60085.04426333,11.6,0.1
60085.89132932,11.0,0.1
# Atel 16047
60084.407,12.95,0.01
# ATel 16057
60087.118,11.32,0.01
60088.109,11.24,0.03
60089.110,11.31,0.01
# ApJL 954 (2023) L12
60084.64,12.50,0.03
60085.66,11.44,0.03
60086.66,11.14,0.01
60087.86,11.01,0.03
60088.77,10.93,0.12
60089.78,11.03,0.02
60090.64,11.04,0.02
60091.61,11.07,0.02
60092.65,11.04,0.03
60094.75,11.11,0.07
60098.74,11.23,0.02
60099.65,11.24,0.02
60100.67,11.31,0.03
60100.72,11.32,0.06
60101.62,11.35,0.02
# TNASAN 2023-211
60150.246,12.88,0
# doi 10.1038/s41586-023-06843-6
60082.889,18.214,0.147
60082.906,18.000,0.115
60082.944,17.697,0.108
60082.945,17.534,0.113
60082.964,17.441,0.138
60083.024,17.130,0.082
60084.312,13.107,0.098
60084.557,12.643,0.012
60084.558,12.637,0.012
60084.598,12.563,0.012
60084.599,12.558,0.012
60084.640,12.489,0.012
60084.641,12.479,0.012
60084.682,12.418,0.012
60084.683,12.400,0.012
60084.723,12.341,0.012
60084.724,12.337,0.012
60085.558,11.475,0.011
60085.558,11.473,0.011
60085.599,11.442,0.011
60085.599,11.437,0.011
60085.641,11.427,0.011
60085.641,11.419,0.011
60085.682,11.402,0.011
60085.683,11.395,0.011
60085.724,11.380,0.011
60085.724,11.380,0.011
60086.557,11.120,0.012
60086.557,11.104,0.012
60086.598,11.094,0.011
60086.598,11.093,0.011
60086.681,11.073,0.011
60086.682,11.075,0.011
60087.551,10.969,0.011
60087.608,10.982,0.011
60087.630,10.972,0.011
60088.549,10.890,0.038
60088.581,10.924,0.038
60088.585,10.900,0.038
60089.607,10.984,0.011
60089.658,10.987,0.011
60090.580,11.027,0.011
60090.664,11.027,0.011
60091.632,11.052,0.011
60091.642,11.075,0.011
60091.685,11.071,0.011
60091.697,11.048,0.011
60093.572,11.092,0.011
60093.623,11.090,0.011
60093.650,11.078,0.011
60093.662,11.090,0.011
60093.686,11.088,0.011
60094.621,11.092,0.011
60094.648,11.111,0.011
60094.675,11.129,0.011
60094.706,11.133,0.011
60095.574,11.136,0.011
60095.608,11.144,0.011
60095.625,11.130,0.011
60095.652,11.134,0.011
60095.680,11.129,0.011
60095.691,11.159,0.011
60095.710,11.151,0.011
60096.574,11.131,0.045
60096.579,11.128,0.045
60096.584,11.163,0.045
60097.574,11.188,0.011
60097.609,11.203,0.011
60097.626,11.199,0.011
60097.653,11.195,0.011
60098.692,11.235,0.011
60098.711,11.249,0.011
60099.549,11.229,0.027
60099.554,11.238,0.027
60099.559,11.266,0.027
60099.565,11.275,0.027
60099.571,11.246,0.027
