MJD,mag,uncert
# TNSAN 2023-119
60083.92314,14.16,0
# TNSAN 2023-154
60092.305,11.14,0.01
# TNSAN 2023-161
60107.244,11.35,0.01
60112.262,11.49,0.01
60116.235,11.81,0.01
# TNSAN 2023-190
60118.316,11.61,0.01
60122.253,11.85,0.01
# ATel 16046
60085.89163689,11.7,0.1
# ATel 16047
60084.407,13.35,0.01
# ATel 16057
60087.118,11.48,0.01
60088.109,11.39,0.01
60089.110,11.37,0.01
# arXiv:2306.10284
60084.63,12.81,0.03
60085.66,11.72,0.02
60086.64,11.38,0.02
60087.88,11.25,0.02
60088.75,11.20,0.04
60089.73,11.21,0.02
60090.64,11.18,0.03
60091.62,11.18,0.03
60092.63,11.14,0.04
60094.75,11.17,0.03
60098.72,11.16,0.04
60099.63,11.19,0.03
60100.73,11.24,0.06
60101.63,11.28,0.04
# TNSAN 2023-211
60150.246,12.08,0
# doi 10.1038/s41586-023-06843-6
60082.829,18.101,0.343
60082.847,17.838,0.312
60082.876,17.685,0.164
60082.882,17.708,0.320
60082.899,17.623,0.270
60082.906,17.650,0.225
60082.941,17.461,0.119
60082.944,17.450,0.139
60082.947,17.468,0.123
60083.024,17.079,0.063
60084.312,13.659,0.100
60084.613,12.836,0.021
60084.626,12.793,0.021
60084.630,12.848,0.021
60084.634,12.774,0.021
60084.637,12.841,0.021
60084.640,12.828,0.021
60084.645,12.764,0.021
60084.697,12.668,0.021
60084.699,12.709,0.021
60084.701,12.683,0.021
60084.703,12.678,0.021
60084.705,12.703,0.021
60084.752,12.609,0.021
60084.755,12.620,0.021
60084.758,12.598,0.021
60084.760,12.598,0.021
60084.764,12.581,0.021
60084.904,12.459,0.021
60085.586,11.765,0.016
60085.590,11.762,0.016
60085.595,11.753,0.016
60085.599,11.737,0.016
60085.604,11.753,0.016
60085.609,11.755,0.016
60085.615,11.742,0.016
60085.622,11.757,0.016
60085.628,11.745,0.016
60085.698,11.691,0.016
60085.702,11.687,0.016
60085.705,11.684,0.016
60085.708,11.701,0.016
60086.590,11.389,0.021
60086.604,11.374,0.021
60086.609,11.370,0.021
60086.616,11.361,0.021
60086.621,11.370,0.021
60086.689,11.345,0.021
60086.691,11.345,0.021
60086.694,11.335,0.021
60086.696,11.355,0.021
60086.699,11.345,0.021
60087.564,11.245,0.012
60087.570,11.245,0.012
60087.579,11.245,0.012
60088.551,11.195,0.010
60088.579,11.195,0.010
60088.583,11.197,0.010
60088.586,11.174,0.010
60089.673,11.221,0.038
60096.570,11.187,0.031
60096.576,11.171,0.031
60096.581,11.178,0.031
60096.586,11.191,0.031
60097.576,11.194,0.015
60097.594,11.197,0.015
60097.598,11.211,0.015
60097.603,11.201,0.015
60097.608,11.198,0.015
60098.572,11.201,0.028
60098.577,11.227,0.028
60098.582,11.210,0.028
60098.587,11.216,0.028
60098.592,11.207,0.028
60099.550,11.245,0.031
60099.556,11.241,0.031
60099.561,11.228,0.031
60099.567,11.239,0.031
60099.572,11.261,0.031
60100.686,11.258,0.024
