MJD,mag,mag_err
60136.975137,17.535,0.031
60136.992289,17.402,0.031
60136.995516,17.486,0.031
60137.002415,17.524,0.033
60137.012239,17.455,0.032
60139.437691,17.49,0.034
60139.4395,17.504,0.039
60139.443122,17.492,0.038
60139.448543,17.616,0.039
60140.00577,17.552,0.137
60140.009023,17.456,0.077
60140.015105,17.454,0.046
60142.94702,17.66,0.037
60142.950239,17.605,0.029
60142.971432,17.697,0.032
60142.978566,17.599,0.037
60168.188827,18.299,0.067
60168.19018,18.175,0.049
60168.191998,18.42,0.072
60168.193806,18.193,0.06
60168.198381,18.157,0.062
60168.201101,18.273,0.057
60168.208874,18.284,0.062
60168.211136,18.415,0.085
60171.144787,18.277,0.074
60171.14796,18.18,0.067
60171.153505,18.262,0.056
60171.188967,18.231,0.065
60174.140818,18.365,0.107
60174.149916,18.246,0.082
60174.160359,18.414,0.16
60175.40756,18.301,0.064
60175.411324,18.293,0.081
60175.436286,18.239,0.065
60175.447562,18.362,0.077
60193.865869,18.404,0.068
60193.886454,18.422,0.071
60193.889616,18.477,0.07
60193.895528,18.456,0.073
