MJD,mag,mag_err
60131.009952,18.113,0.171
60131.049652,17.966,0.151
60134.268165,17.116,0.178
60134.324573,16.045,0.186
60138.260128,17.319,0.037
60138.264054,17.373,0.04
60138.270475,17.406,0.034
60138.281999,17.313,0.034
60146.181435,17.414,0.19
60153.217753,17.706,0.056
60153.220472,17.692,0.055
60153.248882,17.66,0.06
60153.257535,17.652,0.066
60156.193931,17.547,0.129
60156.197101,17.623,0.141
60156.232364,17.905,0.168
60156.237889,17.685,0.173
60160.963559,17.882,0.122
60160.973663,18.268,0.16
60160.978195,18.114,0.153
60160.985518,17.677,0.099
60164.015679,17.725,0.057
60164.018842,17.734,0.068
60164.026072,17.887,0.065
60164.036252,17.773,0.072
60166.967564,17.801,0.054
60166.970749,17.907,0.058
60166.978471,17.76,0.058
60167.012646,17.781,0.067
60168.920102,17.763,0.045
60168.923263,17.736,0.045
60168.925118,17.762,0.051
60168.928832,17.806,0.051
60168.929759,17.885,0.053
60168.934292,17.65,0.035
60168.940393,17.683,0.043
60168.946312,17.793,0.058
60169.889534,17.892,0.053
60169.894771,17.83,0.053
60169.897928,17.781,0.049
60169.933277,17.919,0.056
60180.115792,17.925,0.062
60180.120673,18.05,0.114
60180.125248,17.761,0.084
60180.142978,17.895,0.059
60183.112959,18.005,0.089
60183.116135,17.845,0.077
60183.121884,17.814,0.086
60183.157036,17.823,0.083
60184.868817,17.668,0.142
60184.878515,17.774,0.167
60184.911817,17.94,0.192
60186.151099,17.813,0.152
60186.156228,17.686,0.152
60186.159398,17.861,0.165
60186.169553,17.892,0.152
60192.134173,17.814,0.103
60192.137333,17.944,0.119
60192.162214,17.755,0.113
60192.168092,17.916,0.095
60200.093874,17.938,0.058
60200.103911,18.012,0.065
60200.107556,17.969,0.061
60200.113943,18.017,0.061
