MJD,mag,mag_err
60198.235544,18.769,0.086
60195.330845,18.778,0.076
60193.25044,18.717,0.061
60187.170498,18.803,0.147
60185.183576,18.707,0.127
60183.322789,18.651,0.086
60181.34956,18.617,0.059
60179.32081,18.551,0.072
60174.347442,18.575,0.059
60172.270301,18.42,0.075
60170.330312,18.472,0.062
60168.360706,18.424,0.058
60162.39456,18.29,0.063
60160.297106,18.277,0.064
60156.32544,18.113,0.068
60154.359734,17.972,0.085
60152.352674,18.038,0.045
60150.309178,17.975,0.054
60148.295903,17.929,0.054
60144.405602,17.75,0.049
60140.373623,17.6,0.048
60140.344444,17.604,0.052
60138.384988,17.639,0.057
60136.4475,17.529,0.052
60134.377662,17.557,0.046
