MJD,mag,mag_err
60198.269005,17.928,0.051
60195.233206,17.925,0.05
60195.233206,17.925,0.05
60193.269792,17.897,0.051
60187.242651,17.924,0.084
60185.251898,17.86,0.05
60183.374792,17.848,0.062
60181.234688,17.887,0.059
60174.25566,17.861,0.053
60172.277569,17.833,0.05
60172.277569,17.833,0.05
60170.275104,17.842,0.044
60168.318079,17.82,0.062
60164.291806,17.77,0.038
60162.315729,17.764,0.057
60160.282731,17.756,0.058
60156.357581,17.686,0.058
60152.320116,17.665,0.043
60148.351933,17.594,0.049
60146.342604,17.562,0.058
60146.327431,17.547,0.049
60144.308264,17.5,0.043
60138.4525,17.382,0.048
60136.401227,17.428,0.041
60134.422025,17.551,0.039
