MJD,mag,mag_err
60136.18345,15.240,0.049
60137.17929,15.198,0.042
60138.16572,15.119,0.029
60138.41148,15.136,0.031
60140.17603,15.206,0.038
60140.43288,15.072,0.039
60141.16673,15.300,0.033
60142.42249,15.211,0.033
60143.17926,15.228,0.041
60148.16143,15.259,0.032
60150.15462,15.433,0.04
60150.41521,15.399,0.036
60158.39327,15.582,0.087
60161.15975,15.495,0.072
60161.46575,15.774,0.087
60168.45212,15.645,0.041
60169.0918,15.486,0.043
60184.0697,15.831,0.091
60188.43932,15.772,0.084
60209.40395,16.116,0.047
60220.98744,15.692,0.095
60224.21565,16.208,0.068
60225.30771,16.278,0.065
60229.45709,16.332,0.069
60230.37538,16.496,0.058
60235.19011,16.477,0.069
60238.17908,16.451,0.071
60251.32388,16.374,0.078
60252.32261,16.904,0.098
60253.25749,16.582,0.075
60254.28071,16.748,0.081
60255.28949,16.826,0.094
60255.87362,16.662,0.086
60262.13415,16.980,0.089
60264.35369,16.855,0.097
