MJD,mag,mag_err
60169.399387,15.11,0.007
60169.400303,15.087,0.008
60169.416987,15.116,0.007
60169.417897,15.161,0.009
60169.421118,15.008,0.007
60169.423608,15.132,0.007
60169.425865,15.112,0.008
60171.384074,15.149,0.012
60171.387233,15.132,0.019
60171.395446,15.126,0.014
60171.40365,15.129,0.011
60200.110853,15.445,0.008
60200.113642,15.461,0.008
60200.125233,15.498,0.009
60200.131235,15.484,0.009
60206.104733,15.555,0.009
60206.107004,15.548,0.009
60206.127795,15.552,0.009
60206.130993,15.571,0.009
60206.148534,15.562,0.011
60222.168324,15.827,0.015
60222.192968,15.791,0.013
60222.197985,15.751,0.012
60222.201023,15.779,0.014
60259.971191,16.246,0.013
60259.973978,16.229,0.013
60259.999963,16.189,0.014
60260.012939,16.221,0.012
60265.959755,16.316,0.014
60265.962601,16.299,0.013
60265.965328,16.28,0.014
60266.000785,16.292,0.014
60288.420131,16.612,0.019
60288.455419,16.623,0.019
60288.45904,16.582,0.018
60288.466506,16.598,0.021
60292.566193,16.643,0.021
60292.569667,16.667,0.02
60292.574905,16.668,0.023
60292.590385,16.661,0.025
60312.813499,17.016,0.033
60312.815497,17.029,0.035
60312.819534,17.032,0.041
60312.826572,17.033,0.037
60320.864652,17.166,0.024
60320.867836,17.161,0.023
60320.877762,17.203,0.024
60320.883276,17.143,0.023
60340.358085,17.538,0.035
60340.361046,17.533,0.045
60340.364272,17.519,0.041
60340.367463,17.586,0.047
60344.323639,17.608,0.04
60344.327267,17.601,0.04
60344.333163,17.605,0.037
60344.343345,17.598,0.042
60348.296439,17.695,0.047
60348.299607,17.544,0.048
60348.301427,17.604,0.047
60348.304592,17.793,0.051
60348.305495,17.689,0.047
60348.310018,17.575,0.049
60348.327569,17.643,0.05
60348.328021,17.605,0.051
60352.297188,17.834,0.053
60352.300358,17.894,0.047
60352.307137,17.903,0.053
60352.317122,17.835,0.047
60372.799118,18.307,0.069
60372.802298,18.254,0.072
