MJD,mag,mag_err
60150.398874,14.33,0.007
60150.401629,14.316,0.005
60150.408739,14.288,0.005
60150.423157,14.289,0.005
60152.443425,14.293,0.006
60156.414813,14.411,0.007
60156.418942,14.425,0.006
60156.429003,14.406,0.007
60156.435031,14.418,0.007
60158.159279,14.477,0.009
60158.163899,14.429,0.009
60158.164367,14.411,0.007
60158.168537,14.492,0.01
60158.169562,14.483,0.012
60158.1748,14.442,0.011
60158.177556,14.457,0.009
60158.180313,14.518,0.013
60169.148467,14.616,0.006
60183.343477,14.824,0.025
60183.34715,14.884,0.007
60183.365739,14.903,0.007
60185.094704,14.9,0.009
60185.098335,14.923,0.009
60185.104746,14.905,0.01
60185.11478,14.916,0.009
60186.325227,14.927,0.01
60186.328398,14.87,0.01
60186.348067,14.843,0.01
60186.353493,14.865,0.01
60204.317488,15.185,0.009
60204.32066,15.205,0.008
60204.324272,15.194,0.008
60204.334258,15.174,0.009
60207.294335,15.293,0.012
60207.309542,15.303,0.01
60207.313919,15.297,0.01
60207.319812,15.279,0.008
60213.264675,15.363,0.012
60213.276222,15.342,0.012
60213.279418,15.388,0.012
60213.284408,15.38,0.012
60216.266854,15.376,0.017
60216.269138,15.389,0.017
60216.272764,15.324,0.016
60216.27778,15.378,0.017
60219.278623,15.477,0.046
60219.280438,15.464,0.042
60219.280889,15.342,0.026
60219.298376,15.351,0.033
60219.298827,15.46,0.052
60219.300636,15.413,0.024
60219.316319,15.455,0.029
60220.939449,15.446,0.022
60220.942281,15.462,0.019
60220.977842,15.483,0.023
60220.994942,15.463,0.02
60225.308774,15.497,0.011
60225.310577,15.506,0.01
60225.313738,15.477,0.01
60225.319153,15.507,0.012
60228.365667,15.492,0.01
60228.373358,15.489,0.012
60228.375198,15.497,0.011
60228.378712,15.445,0.011
60231.281271,15.546,0.01
60231.283093,15.582,0.01
60231.286714,15.541,0.01
60231.292131,15.399,0.011
60232.996455,15.614,0.011
60233.017997,15.606,0.01
60233.042983,15.601,0.011
60233.046827,15.585,0.01
60240.284374,15.594,0.011
60240.291757,15.581,0.011
60240.295388,15.561,0.011
60240.330817,15.711,0.011
60241.973169,15.719,0.014
60241.974976,15.715,0.014
60241.978172,15.728,0.014
60241.983603,15.72,0.013
60243.208047,15.753,0.015
60243.209849,15.727,0.016
60243.214356,15.753,0.017
60251.04378,15.821,0.022
60251.106524,15.823,0.029
60252.339764,15.819,0.016
60252.357847,15.813,0.015
60252.360589,15.848,0.017
60252.363636,15.798,0.017
60254.02576,15.849,0.012
60255.236053,15.843,0.012
60255.237868,15.854,0.012
60255.241033,15.864,0.013
60261.271387,15.966,0.013
60261.274199,15.955,0.015
60261.280106,15.961,0.012
60264.209319,15.865,0.014
60264.237975,15.828,0.014
60264.262137,16.005,0.014
60264.267306,16.033,0.014
60267.209339,16.033,0.013
60267.233366,16.023,0.013
60267.251984,16.031,0.014
60267.255157,16.055,0.013
60270.192823,16.104,0.014
60270.194626,16.077,0.016
60270.1978,16.075,0.014
60270.206895,16.078,0.015
60273.134861,16.084,0.03
60273.138035,16.07,0.029
60273.141671,16.084,0.023
60273.147133,16.146,0.027
60277.957416,16.185,0.042
60277.961058,16.217,0.037
60277.966561,16.173,0.038
60277.976804,16.232,0.031
60280.952152,16.198,0.016
60280.955372,16.145,0.015
60280.958128,16.216,0.016
60280.960887,16.219,0.017
60280.971933,16.256,0.017
60282.175622,15.976,0.008
60282.186869,16.059,0.009
60282.189648,16.101,0.008
60285.165278,16.251,0.009
60285.168037,16.301,0.008
60285.17492,16.276,0.009
60288.926795,16.326,0.015
60288.959619,16.322,0.014
60288.969311,16.334,0.016
60288.97568,16.309,0.016
60290.421714,16.379,0.016
60290.425836,16.311,0.014
60290.434125,16.359,0.014
60290.445792,16.366,0.015
60291.15256,16.21,0.009
60291.15669,16.216,0.009
60291.166363,16.226,0.009
60292.918963,16.368,0.017
60292.922182,16.406,0.017
60292.954353,16.375,0.018
60292.961654,16.344,0.017
60294.461612,16.405,0.014
60294.464927,16.391,0.017
60294.474363,16.419,0.016
60294.509924,16.406,0.017
60295.170786,16.409,0.019
60295.174397,16.468,0.018
60295.18036,16.431,0.019
60295.215612,16.438,0.02
60296.912827,16.444,0.017
60296.916019,16.441,0.017
60296.922437,16.438,0.017
60296.957288,16.45,0.015
60299.10297,16.446,0.022
60299.103421,16.538,0.03
60299.104776,16.488,0.028
60299.105702,16.486,0.03
60299.107517,16.49,0.023
60299.110394,16.57,0.026
60299.113131,16.468,0.025
60299.116759,16.476,0.029
60300.901388,16.551,0.031
60300.936587,16.469,0.026
60300.939791,16.482,0.026
60300.945789,16.442,0.026
60305.4008,16.609,0.034
60305.431158,16.547,0.032
60305.434194,16.631,0.038
60305.463117,16.654,0.034
60306.40283,16.581,0.027
60306.406117,16.58,0.027
60306.413485,16.542,0.027
60306.424043,16.557,0.028
60308.420417,16.628,0.025
60308.43233,16.51,0.022
60308.433688,16.645,0.026
60308.43685,16.628,0.026
60308.442293,16.593,0.024
60308.454073,16.619,0.027
60310.389399,16.66,0.021
60310.393313,16.666,0.02
60310.40026,16.685,0.02
60310.410368,16.619,0.02
60311.179644,16.688,0.027
60311.183254,16.719,0.025
60311.188835,16.67,0.022
60311.200174,16.679,0.025
60312.396377,16.635,0.018
60312.398635,16.695,0.024
60312.404487,16.612,0.019
60312.405843,16.632,0.022
60312.407652,16.653,0.018
60312.428929,16.655,0.022
60314.384437,16.759,0.022
60314.387669,16.792,0.027
60314.393374,16.704,0.019
60314.395807,16.885,0.028
60314.409419,16.723,0.02
60315.128967,16.678,0.021
60315.132609,16.74,0.022
60315.140196,16.736,0.021
60315.150207,16.697,0.02
60316.378225,16.724,0.019
60316.381388,16.739,0.021
60316.386819,16.723,0.023
60316.399875,16.707,0.02
60319.112214,16.847,0.04
60319.117684,16.77,0.024
60319.124189,16.815,0.022
60319.12464,16.85,0.032
60319.127358,16.663,0.025
60319.137423,16.713,0.028
60322.351821,16.877,0.023
60322.354693,16.852,0.02
60322.36478,16.879,0.02
60322.372756,16.85,0.02
60323.106933,16.902,0.024
60323.113859,16.868,0.028
60323.117087,16.846,0.025
60323.128022,16.925,0.026
60324.358487,16.893,0.026
60324.361755,16.862,0.019
60324.367936,16.904,0.025
60324.391523,16.859,0.024
60326.312166,16.933,0.024
60326.320792,16.962,0.026
60326.323643,16.991,0.029
60326.335388,16.968,0.03
60327.090851,16.91,0.032
60327.094043,16.901,0.03
60327.101292,16.691,0.029
60327.111261,16.722,0.03
60328.385256,16.904,0.029
60328.388425,16.942,0.031
60328.39354,17.014,0.028
60328.406311,16.887,0.031
60328.809279,16.993,0.042
60328.812512,17.147,0.052
60328.826365,16.968,0.04
60328.835998,16.932,0.042
60330.324336,16.941,0.045
60330.327244,16.986,0.041
60330.332596,17.05,0.053
60330.3455,17.045,0.046
60332.35024,16.962,0.047
60332.353858,17.082,0.052
60332.359101,17.083,0.05
60332.376101,16.969,0.04
60332.876295,16.954,0.048
60332.879467,17.142,0.062
60332.892822,16.972,0.05
60332.898762,17.14,0.062
60335.146391,17.133,0.059
60335.149584,17.114,0.069
60335.155496,17.211,0.063
60335.165713,17.152,0.066
60336.360028,17.176,0.057
60336.363642,17.22,0.058
60336.369539,17.125,0.061
60336.379943,17.139,0.064
60339.116297,17.086,0.04
60339.121742,17.122,0.042
60339.124916,17.066,0.043
60339.137309,17.179,0.048
60342.332946,17.241,0.029
60342.336177,17.287,0.026
60342.351951,17.255,0.026
60342.367573,17.28,0.028
60343.085893,17.244,0.031
60343.098719,17.334,0.031
60343.102364,17.293,0.034
60343.11082,17.275,0.037
60346.318681,17.285,0.058
60346.324301,17.215,0.063
60346.327755,17.367,0.063
60346.339315,17.529,0.077
60347.076725,17.398,0.034
60347.079889,17.374,0.038
60347.090093,17.361,0.038
60347.099613,17.383,0.037
60348.793643,17.408,0.042
60348.795926,17.415,0.034
60348.796827,17.385,0.04
60348.799133,17.397,0.039
60348.802324,17.413,0.037
60348.809775,17.479,0.034
60348.812542,17.384,0.042
60348.815752,17.456,0.037
60350.321486,17.377,0.029
60350.324912,17.451,0.032
60350.330081,17.371,0.033
60350.34971,17.412,0.034
60351.069876,17.493,0.037
60351.073054,17.082,0.031
60351.079391,17.45,0.037
60351.090344,17.435,0.039
60352.785319,17.577,0.046
60352.788501,17.465,0.036
60352.794478,17.448,0.033
60352.805539,17.514,0.037
60355.054881,17.527,0.047
