MJD,mag,mag_err
60208.133354,19.229,0.195
60208.141824,19.168,0.155
60218.13291,18.899,0.182
60218.870223,18.937,0.196
60218.891262,18.975,0.174
60221.863743,19.076,0.179
60226.117705,19.145,0.142
60226.138802,19.354,0.185
60226.141595,19.266,0.199
60226.160801,19.226,0.158
60227.877165,19.085,0.17
60227.882708,19.228,0.162
60227.906202,19.198,0.199
60229.103807,19.475,0.186
60229.106987,19.435,0.196
60229.127615,19.215,0.148
60229.138388,19.283,0.168
60230.891944,19.141,0.172
60230.897109,19.351,0.199
60232.110123,19.15,0.165
60232.138484,19.202,0.148
60233.87061,19.171,0.177
60233.873448,19.291,0.189
60235.820568,19.246,0.154
60235.829257,19.626,0.185
60236.843439,19.554,0.193
60236.861759,19.465,0.198
60256.089832,19.224,0.154
60256.100146,19.224,0.15
