MJD,mag,mag_err
60262.170336,19.486,0.157
60260.147465,19.543,0.245
60258.147639,19.452,0.313
60255.16963,19.32,0.183
60253.190405,19.477,0.212
60251.127095,19.404,0.162
60250.127072,19.441,0.177
60242.16853,19.11,0.226
60239.168148,19.222,0.167
60235.148102,19.04,0.133
60233.189514,19.049,0.133
60231.168252,19.104,0.14
60228.265255,19.16,0.141
60226.188912,18.981,0.129
60215.210035,18.867,0.152
60211.294572,18.938,0.155
60207.230394,19.096,0.125
60205.252326,19.01,0.147
60202.209745,19.01,0.137
60200.25213,19.101,0.1
60196.264282,18.978,0.147
60194.29397,19.41,0.146
60192.32331,19.558,0.215
60183.324699,19.387,0.2
60181.336088,19.749,0.197
60170.355185,19.979,0.215
60168.356435,19.94,0.217
