MJD,mag,mag_err
60260.105301,19.792,0.32
60255.148877,19.608,0.175
60253.150914,19.599,0.21
60251.187106,19.562,0.207
60239.105521,19.373,0.18
60233.147211,19.32,0.161
60231.146562,19.372,0.172
60226.267593,19.339,0.136
60224.210417,19.33,0.169
60221.230498,19.149,0.161
60217.188901,19.231,0.155
60215.231389,19.176,0.205
60211.201482,19.408,0.203
60207.294456,19.297,0.125
60205.240058,19.27,0.115
60202.231655,19.324,0.145
60194.314722,19.648,0.186
60194.314722,19.648,0.186
60173.294201,20.175,0.224
