MJD,mag,mag_err
60197.9281080002,14.619,0.074
60198.94448499987,14.744,0.037
60199.952442000154,14.677,0.043
60200.953546999954,14.769,0.142
60204.948940999806,14.937,0.07
60207.91739600012,14.898,0.083
60208.805649999995,14.884,0.011
60208.926800000016,14.965,0.066
60209.93565399991,15.038,0.052
60210.975647999905,14.948,0.063
60211.92835099995,15.018,0.042
60212.63269999996,15.01,0.023
60212.92846600013,15.094,0.052
60213.60058999993,15.055,0.025
60219.536259999964,15.152,0.032
60221.59738000017,15.551,0.022
60222.69168000016,15.532,0.02
60223.592590000015,15.569,0.029
60226.59015000006,15.799,0.031
60227.51164000016,15.316,0.026
60227.65757999988,15.499,0.028
60254.81762700016,16.346,0.076
