MJD,mag,mag_err
60195.89513899991,14.039,0.065
60196.95881900005,14.057,0.074
60197.91353000002,14.006,0.044
60198.939970999956,13.949,0.044
60199.94819399994,13.917,0.044
60200.94929999998,13.801,0.043
60201.959294000175,13.748,0.105
60203.9211980002,13.763,0.057
60204.5460760002,13.789,0.054
60204.9446990001,13.871,0.047
60206.63809000002,14.003,0.042
60207.9216959998,13.904,0.075
60208.88683999982,13.882,0.067
60209.93140000012,13.917,0.042
60210.95400999999,13.913,0.042
60211.9241030002,13.928,0.057
60212.91905699996,13.961,0.04
60254.80909699993,14.535,0.104
