MJD,mag,mag_err
60197.91565999994,14.456,0.09
60198.942228000145,14.297,0.041
60199.95032399986,14.341,0.02
60200.951429000124,14.199,0.031
60201.86950000003,14.389,0.026
60203.591000000015,14.297,0.013
60203.739430000074,14.23,0.012
60204.548130999785,14.311,0.021
60204.94682299998,14.379,0.042
60206.640149999876,14.491,0.023
60207.91527199978,14.556,0.072
60208.8387699998,14.492,0.011
60208.92467600014,14.514,0.05
60209.58675999986,14.438,0.021
60209.747119999956,14.439,0.028
60209.93353000004,14.483,0.034
60210.57449000003,14.415,0.017
60210.736539999954,14.399,0.014
60210.97352400003,14.512,0.026
60211.73681000015,14.54,0.05
60211.92623300012,14.53,0.024
60212.3202800001,14.684,0.068
60212.92634300003,14.55,0.031
60213.6019100002,14.616,0.023
60216.31672,14.779,0.071
60218.30959000019,14.814,0.068
60219.540169999935,14.629,0.027
60221.598720000125,14.759,0.02
60222.309900000226,14.863,0.097
60222.69303999981,14.821,0.024
60223.59394000005,14.778,0.02
60225.32022000011,14.965,0.087
60226.59146999987,14.895,0.022
60227.51536000008,14.89,0.023
60227.66124999989,14.843,0.021
60229.27502000006,15.062,0.062
60254.824068000074,15.431,0.044
