MJD,mag,mag_err
60191.43321,15.333,0.054
60192.43797,15.020,0.033
60201.39133,14.576,0.02
60202.42607,14.610,0.021
60205.40016,14.656,0.022
60207.39376,14.744,0.023
60208.90865,14.803,0.022
60211.40385,14.831,0.024
60212.46083,14.977,0.025
60214.88329,15.036,0.048
60218.89078,15.001,0.035
60219.96192,15.227,0.035
60222.38419,15.288,0.03
60224.13877,15.433,0.031
60225.30085,15.436,0.03
60226.32437,15.492,0.031
60227.44639,15.591,0.038
60228.37243,15.580,0.034
60229.33108,15.563,0.035
60230.45844,15.678,0.044
60232.28397,15.629,0.033
60234.83594,15.805,0.039
60236.29828,15.785,0.041
60237.24337,15.868,0.038
60239.06179,15.813,0.045
60244.06278,15.818,0.082
60247.13952,16.212,0.079
60251.37908,16.307,0.078
60252.36733,16.129,0.07
60253.28309,16.120,0.047
60254.28745,16.242,0.05
60255.25059,16.207,0.048
60256.244,16.270,0.056
60260.1727,16.273,0.05
60261.16851,16.482,0.056
60262.83204,16.496,0.052
60264.79388,16.353,0.047
60265.30712,16.418,0.057
60270.247,16.417,0.068
60277.06666,16.631,0.078
60285.96438,16.806,0.074
