MJD,mag,mag_err
60201.012423,14.485,0.005
60201.015533,14.475,0.005
60201.020241,14.462,0.005
60201.107767,14.457,0.008
60223.218341,14.981,0.007
60223.220554,15.022,0.007
60223.22404,15.031,0.007
60223.239394,15.019,0.007
60257.927359,15.679,0.009
60257.930536,15.748,0.01
60257.93642,15.733,0.011
60257.939197,15.743,0.009
60257.971265,15.729,0.01
60260.855701,15.725,0.01
60260.856602,15.781,0.011
60260.858888,15.756,0.01
60260.859789,15.774,0.01
60260.861631,15.753,0.01
60260.863451,15.764,0.011
60260.886719,15.738,0.011
