MJD,mag,mag_err
60208.254314,14.499,0.005
60208.257506,14.493,0.005
60208.260229,14.491,0.005
60208.265689,14.492,0.005
60209.978366,14.494,0.005
60209.980195,14.506,0.006
60209.980647,14.492,0.005
60209.982023,14.487,0.005
60209.982473,14.496,0.005
60209.991918,14.5,0.005
60209.994251,14.497,0.005
60211.226432,14.485,0.006
60211.237823,14.483,0.006
60211.243742,14.493,0.006
60211.249583,14.362,0.006
60211.25149,14.368,0.006
60214.160195,14.556,0.007
60214.16253,14.55,0.007
60214.165299,14.554,0.007
60214.171792,14.562,0.006
60215.95598,14.555,0.008
60215.957786,14.573,0.007
60215.971747,14.545,0.007
60215.976996,14.535,0.007
60217.213741,14.567,0.008
60217.21655,14.58,0.007
60217.219371,14.588,0.007
60217.226198,14.577,0.008
60218.978604,14.601,0.007
60218.980869,14.613,0.007
60218.983624,14.613,0.007
60218.990699,14.609,0.007
60221.966563,14.67,0.008
60221.97213,14.676,0.01
60221.976098,14.648,0.009
60221.995605,14.676,0.009
60226.1958,14.718,0.006
60226.198981,14.484,0.006
60226.20308,14.735,0.006
60226.221847,14.675,0.006
60227.956667,14.779,0.006
60227.960872,14.771,0.006
60227.964487,14.777,0.006
60227.972191,14.766,0.006
60229.190481,14.799,0.006
60229.192766,14.807,0.006
60229.196532,14.818,0.006
60229.224774,14.784,0.006
60232.190446,14.871,0.006
60232.193715,14.854,0.006
60232.197474,14.878,0.007
60232.203436,14.862,0.006
60233.951086,14.875,0.006
60233.952888,14.872,0.006
60233.97612,14.895,0.006
60233.990507,14.863,0.006
60236.925366,14.93,0.006
60236.92921,14.929,0.007
60236.932096,14.916,0.007
60236.934549,14.916,0.007
60236.935,14.964,0.007
60236.940451,14.903,0.006
60240.061805,14.943,0.007
60240.067032,14.957,0.007
60240.077221,14.975,0.007
60240.080569,14.945,0.007
60241.15958,14.974,0.13
60242.888571,14.996,0.008
60242.891349,14.989,0.008
60242.894076,14.987,0.008
60242.913019,14.995,0.008
60244.162176,15.005,0.015
60244.165497,15.015,0.012
60244.168699,15.128,0.088
60247.216978,15.046,0.009
60247.220971,15.072,0.019
60247.227757,15.042,0.019
60247.251581,15.04,0.013
60248.944881,15.05,0.009
60248.974641,15.066,0.009
60248.977808,15.051,0.009
60248.983367,15.029,0.009
60252.09039,15.098,0.008
60253.186582,15.035,0.007
60253.189786,15.081,0.008
60253.199586,15.103,0.008
60253.201894,15.122,0.007
60253.204764,15.112,0.007
60253.209704,15.107,0.008
60253.210605,15.138,0.008
60256.185353,15.093,0.008
60256.21521,15.111,0.008
60256.21802,15.109,0.007
60256.225357,15.124,0.008
60259.182686,15.118,0.008
60259.185884,15.147,0.009
60259.191468,15.148,0.008
60259.226415,15.14,0.008
60262.180428,15.198,0.008
60262.18378,15.184,0.008
60262.190514,15.182,0.007
60262.226115,15.18,0.008
60265.155274,14.865,0.009
60265.158909,15.091,0.008
60265.172401,15.059,0.008
60265.17751,15.114,0.009
60268.157767,15.229,0.009
60268.160683,15.159,0.009
60268.165971,15.039,0.009
60268.201167,15.116,0.009
60269.813994,15.261,0.009
60269.819412,15.241,0.01
60269.821238,15.24,0.009
60269.826696,15.238,0.01
60272.910911,15.262,0.011
60272.914096,15.278,0.012
60272.919312,15.26,0.012
60272.930492,15.242,0.012
60274.156872,15.274,0.012
60274.159253,15.28,0.013
60274.159703,15.237,0.013
60274.162419,15.288,0.012
60274.165194,15.276,0.013
60274.168377,15.192,0.013
60274.175149,14.973,0.013
60275.892648,15.274,0.011
60275.895838,15.29,0.012
60275.90098,15.319,0.011
60275.911492,15.295,0.012
60277.157546,15.286,0.01
60277.163113,15.292,0.011
60278.903046,15.281,0.008
60278.905913,15.304,0.009
60278.912338,15.301,0.009
60278.922224,15.294,0.008
60280.089397,15.319,0.005
60280.093527,15.326,0.005
60280.097876,15.334,0.005
60281.796649,15.315,0.008
60281.798923,15.362,0.009
60281.802089,15.342,0.009
60281.808933,15.319,0.008
60283.070149,15.361,0.005
60283.074319,15.365,0.005
60283.078449,15.355,0.005
60284.894407,15.358,0.008
60284.897268,15.373,0.008
60284.902944,15.386,0.008
60284.913675,15.371,0.009
60286.062295,15.447,0.005
60286.063671,15.161,0.005
60286.066424,15.358,0.005
60286.067801,15.148,0.005
60286.070554,15.429,0.005
60286.073308,15.139,0.005
60289.062273,15.418,0.005
60289.066409,15.424,0.005
60289.070538,15.422,0.005
60290.05819,15.201,0.005
60290.062325,15.203,0.005
60290.06646,15.389,0.005
60290.877824,15.448,0.01
60290.88117,15.442,0.01
60290.886733,15.442,0.009
60290.89659,15.443,0.009
60291.867812,15.454,0.009
60291.870746,15.457,0.009
60291.875914,15.435,0.009
60291.887558,15.423,0.009
60293.114037,15.476,0.009
60293.117758,15.455,0.01
60293.125078,15.461,0.009
60293.134924,15.465,0.01
60294.135832,15.441,0.01
60294.139071,15.43,0.01
60294.167259,15.428,0.01
60294.196253,15.403,0.009
60294.840318,15.491,0.009
60294.843484,15.506,0.009
60294.849399,15.496,0.009
60294.859616,15.498,0.009
60295.851067,15.506,0.009
60295.854299,15.519,0.01
60295.859828,15.523,0.01
60295.870493,15.512,0.01
60297.101465,15.559,0.012
60297.104664,15.55,0.012
60297.110322,15.536,0.012
60297.120401,15.499,0.012
60298.13451,15.481,0.012
60298.137704,15.474,0.011
60298.144584,15.489,0.012
60298.154837,15.511,0.011
60298.869376,15.554,0.011
60298.873037,15.57,0.011
60298.878295,15.564,0.012
60298.888138,15.553,0.012
60299.856303,15.575,0.012
60299.860594,15.569,0.012
60299.865686,15.559,0.012
60299.876259,15.568,0.012
