MJD,mag,mag_err
60250.63489,16.450,0.087
60252.63431,16.254,0.07
60255.64825,16.063,0.07
60265.61526,16.542,0.057
60267.50447,16.696,0.063
60270.45237,16.507,0.059
60270.50363,16.511,0.078
60271.46272,16.598,0.06
60272.49589,16.458,0.067
60272.57653,16.549,0.073
60282.51505,16.934,0.095
60285.44134,16.925,0.08
60286.45127,16.860,0.075
60287.43458,16.864,0.072
60289.40123,16.994,0.078
60294.39437,17.078,0.085
60294.45789,16.875,0.09
60295.39095,17.156,0.081
60312.47706,16.898,0.094
60313.32414,17.178,0.096
60314.46229,16.902,0.068
60315.48891,17.187,0.084
60316.45552,17.172,0.079
