MJD,mag,mag_err
60291.618437,16.604,0.022
60291.640923,16.587,0.022
60291.65174,16.615,0.028
60295.615821,16.585,0.021
60295.61899,16.552,0.021
60295.643913,16.603,0.022
60295.662081,16.651,0.028
60347.535321,17.296,0.033
60347.53714,17.394,0.033
60347.549175,17.291,0.031
60347.565381,17.399,0.033
60351.502129,17.524,0.042
60351.503937,17.537,0.039
60351.525474,17.425,0.038
60351.543689,17.508,0.04
60355.515135,17.937,0.056
60355.537182,17.796,0.048
60355.541708,17.921,0.058
60355.544885,17.938,0.049
