MJD,mag,mag_err
60274.626223,16.191,0.051
60274.630037,16.121,0.038
60274.647533,16.252,0.031
60274.656127,16.118,0.035
60282.638213,16.246,0.018
60282.641377,16.215,0.02
60282.649101,16.202,0.021
60282.659285,16.157,0.023
60283.6318,16.237,0.017
60283.633647,16.18,0.016
60283.636717,16.214,0.019
60283.647113,16.25,0.02
60283.658037,16.198,0.023
60283.664954,16.319,0.099
60286.611491,16.217,0.018
60286.614407,16.187,0.02
60286.619796,16.193,0.017
60286.64391,16.221,0.018
60293.585715,16.277,0.02
60293.588552,16.255,0.019
60293.594091,16.271,0.019
60293.604141,16.246,0.017
60293.604603,16.252,0.018
60293.608296,16.246,0.017
60293.613938,16.246,0.019
60293.624581,16.215,0.02
60303.577522,16.263,0.023
60303.589784,16.258,0.024
60303.602505,16.237,0.023
60303.604327,16.27,0.022
60305.487956,16.329,0.038
60305.49666,16.362,0.039
60305.500666,16.228,0.033
60305.511562,16.279,0.04
60307.572511,16.263,0.027
60307.575356,16.299,0.026
60307.57917,16.312,0.026
60307.591018,16.3,0.023
60309.470947,16.293,0.022
60309.471407,16.301,0.023
60309.474345,16.367,0.024
60309.479581,16.339,0.024
60309.480044,16.333,0.02
60309.490989,16.289,0.022
60311.604681,16.318,0.026
60311.606489,16.283,0.022
60311.610331,16.296,0.023
60311.626513,16.307,0.023
60315.606163,16.342,0.018
60315.608936,16.311,0.016
60315.622928,16.284,0.019
60315.626098,16.305,0.017
60317.609481,16.318,0.015
60317.612716,16.356,0.014
60317.615484,16.345,0.014
60317.632087,16.359,0.014
60325.560729,16.427,0.018
60325.563657,16.434,0.019
60325.584006,16.417,0.018
60325.59599,16.443,0.016
60327.572405,16.439,0.022
60327.575582,16.418,0.02
60327.576945,16.436,0.023
60327.59762,16.433,0.019
60327.598532,16.409,0.018
60327.611705,16.422,0.016
60327.616551,16.436,0.018
60329.509828,16.482,0.022
60329.512635,16.511,0.019
60329.516044,16.508,0.018
60329.521438,16.499,0.019
60331.532348,16.49,0.036
60331.535352,16.583,0.044
60331.538543,16.473,0.035
60331.554857,16.489,0.032
60333.602936,16.564,0.036
60333.606205,16.536,0.03
60333.637637,16.525,0.028
60333.666941,16.523,0.038
60335.511501,16.612,0.04
60335.514673,16.55,0.037
60335.524842,16.557,0.039
60335.533952,16.569,0.036
60341.497934,16.653,0.026
60341.499782,16.672,0.027
60341.502553,16.689,0.025
60341.510927,16.653,0.024
60341.542825,16.667,0.023
60341.544676,16.682,0.024
60341.557441,16.654,0.024
60343.505513,16.682,0.024
60343.507332,16.728,0.028
60343.536432,16.773,0.023
60343.540953,16.691,0.023
60343.579273,16.702,0.028
60343.590004,16.728,0.022
60343.59203,16.725,0.028
60343.595208,16.698,0.025
60359.461009,17.901,0.098
60359.464188,17.863,0.096
60359.491052,17.796,0.092
60359.521248,17.682,0.082
60385.462591,18.603,0.095
60407.612851,18.871,0.094
60410.614172,18.799,0.09
