MJD,mag,mag_err
60444.318796,20.746,0.316
60438.304965,20.497,0.208
60432.284954,20.644,0.253
60430.227581,20.543,0.244
60420.302349,20.273,0.306
60418.215474,20.397,0.371
60412.384444,20.448,0.204
60407.291701,20.54,0.386
60403.347604,20.491,0.239
60390.469838,20.068,0.297
60388.305139,20.083,0.281
60379.364595,20.281,0.213
60369.283287,20.317,0.282
60356.489896,18.597,0.083
60354.303009,18.314,0.058
60352.477951,18.049,0.063
60341.279537,17.477,0.053
60327.512581,17.191,0.048
60325.515278,17.197,0.042
60322.449641,17.143,0.046
60311.488056,16.961,0.04
60291.411551,16.816,0.037
60289.391643,16.735,0.029
60287.388287,16.773,0.042
60260.468565,16.324,0.028
60258.516968,16.298,0.037
60253.469063,16.199,0.032
60251.513704,16.188,0.032
60249.510451,16.176,0.028
