MJD,mag,mag_err
60483.262893,19.508,0.179
60479.304306,19.412,0.165
60476.283437,19.401,0.129
60464.342326,19.298,0.114
60460.277315,19.328,0.103
60458.370139,19.388,0.126
60456.319792,19.306,0.128
60452.348171,19.286,0.212
60450.259664,19.069,0.135
60448.24162,19.281,0.149
60446.280081,19.225,0.156
60444.262407,19.182,0.126
60438.345532,19.149,0.148
60438.242905,19.058,0.085
60437.238449,19.143,0.093
60432.323912,19.144,0.11
60430.262454,19.092,0.086
60422.303808,18.971,0.099
60420.393264,19.036,0.093
60418.284931,18.764,0.118
60416.232176,18.99,0.104
60407.372477,18.97,0.09
60397.422002,18.788,0.095
60390.336933,18.796,0.109
60379.311551,18.71,0.103
60369.330613,18.6,0.068
60363.284491,18.369,0.173
60356.370579,17.419,0.039
60354.393414,17.175,0.036
60352.392836,17.022,0.036
60341.402465,16.626,0.034
60338.295845,16.615,0.042
60327.390544,16.391,0.027
60325.47735,16.388,0.022
60322.515428,16.346,0.03
60315.392257,16.286,0.027
60315.311482,16.281,0.032
60311.508518,16.294,0.029
60291.370394,16.191,0.026
60289.477512,16.174,0.045
60287.412407,16.159,0.034
60260.508113,16.068,0.029
60258.47272,16.076,0.029
60256.486817,16.074,0.027
60253.522292,16.128,0.038
60251.484757,16.136,0.027
60249.490729,16.138,0.028
