MJD,mag,mag_err
60286.4573,16.447,0.078
60287.45928,15.807,0.052
60289.41467,15.628,0.042
60296.21941,15.645,0.045
60303.28327,15.748,0.096
60311.17457,15.968,0.046
60312.26055,16.055,0.05
60312.85657,15.883,0.04
60314.90968,16.034,0.041
60317.3258,16.256,0.056
60320.26898,16.357,0.073
60321.99839,16.083,0.046
60322.99301,16.057,0.046
60323.96776,16.023,0.049
60324.96504,16.252,0.052
60326.87539,16.099,0.047
60327.14442,16.368,0.059
60327.85937,16.194,0.057
60328.88592,16.153,0.055
60329.91342,16.462,0.091
60339.97668,16.426,0.079
60344.92832,16.426,0.058
60345.91665,15.925,0.042
60347.91461,16.304,0.053
60348.90279,16.581,0.071
60349.90423,16.347,0.054
60350.89785,16.360,0.053
60351.89719,16.450,0.052
60352.89432,16.467,0.056
60353.89319,16.346,0.051
60354.12485,16.510,0.065
