MJD,mag,mag_err
60314.830111,15.878,0.013
60314.831932,15.87,0.012
60314.866177,15.866,0.012
60314.869838,15.861,0.011
60322.879052,15.987,0.013
60322.911017,15.985,0.013
60322.91237,16.006,0.013
60322.914225,15.965,0.012
60322.941278,15.995,0.013
60322.942184,15.961,0.012
60322.945369,15.951,0.013
60322.951546,15.924,0.017
60323.877027,15.995,0.012
60323.880703,16.001,0.013
60323.88722,15.989,0.013
60323.922604,16.009,0.014
60326.917169,15.994,0.013
60326.920348,15.987,0.013
60326.925909,16.027,0.012
60326.938857,16.029,0.013
60327.939216,16.002,0.015
60327.942394,16.023,0.013
60327.96873,16.07,0.015
60327.982046,15.991,0.012
