MJD,mag,mag_err
60291.628638,17.21,0.035
60291.632454,17.107,0.041
60291.647674,17.127,0.035
60295.62749,17.169,0.03
60295.630694,17.266,0.04
60295.640889,17.192,0.03
60295.653872,17.172,0.032
60295.654324,17.453,0.049
60343.436823,16.871,0.029
60343.440058,16.789,0.029
60343.449635,16.872,0.031
60343.462054,16.759,0.024
60345.543349,16.728,0.025
60345.546528,16.719,0.026
60345.54834,16.763,0.025
60345.550149,16.75,0.023
60347.546259,16.717,0.02
60347.567306,16.752,0.021
60347.58068,16.695,0.019
60347.583908,16.715,0.021
60351.515254,16.644,0.02
60351.518417,16.631,0.021
60351.521588,16.691,0.021
60351.532066,16.644,0.02
60353.548218,16.678,0.021
60353.550026,16.69,0.02
60353.554098,16.643,0.019
60353.559281,16.672,0.02
60355.557588,16.625,0.019
60355.559397,16.631,0.019
60355.562571,16.66,0.02
60355.58383,16.725,0.023
