MJD,mag,mag_err
60286.635498,17.039,0.034
60286.63958,16.944,0.032
60286.652845,17.014,0.037
60286.664319,17.126,0.053
60293.634895,17.035,0.031
60293.639691,16.996,0.026
60293.65552,16.928,0.033
60302.5775,16.977,0.051
60302.581147,17.058,0.054
60302.586516,17.092,0.054
60302.604039,17.118,0.04
60303.599145,17.069,0.076
60303.612258,17.09,0.043
60303.637386,17.227,0.04
60303.644318,17.127,0.035
60303.669031,17.063,0.053
60305.554847,17.008,0.062
60305.558022,17.26,0.075
60305.575629,17.213,0.061
60305.581088,17.162,0.061
60306.583607,17.243,0.063
60306.585871,17.167,0.054
60306.588751,17.2,0.065
60306.591022,17.16,0.06
60306.592408,17.506,0.071
60306.594673,17.17,0.047
60306.614545,17.093,0.048
60306.616813,17.141,0.046
60307.63096,17.148,0.044
60307.631412,17.136,0.042
60307.634125,17.236,0.046
60307.634576,17.141,0.053
60307.652735,17.047,0.043
60307.663274,17.198,0.046
60307.665612,17.085,0.051
60308.586375,17.229,0.042
60308.590828,17.284,0.048
60308.597465,17.235,0.039
60308.607716,17.182,0.036
60311.591011,17.21,0.053
60311.601114,17.197,0.037
60311.617654,17.163,0.038
60311.620819,17.091,0.04
60315.587803,17.247,0.039
60315.590973,17.212,0.038
60315.597303,17.15,0.036
60315.615013,17.187,0.03
60315.667874,17.149,0.036
60317.645274,17.122,0.026
60317.645737,17.137,0.024
60317.657498,17.109,0.027
60317.657959,17.154,0.027
60317.664195,17.105,0.031
60317.664657,17.185,0.036
60317.667035,17.216,0.036
60317.668013,17.059,0.043
60325.60927,16.903,0.024
60325.613673,16.869,0.025
60325.619809,16.959,0.024
60325.631548,16.934,0.025
60327.564886,16.775,0.025
60327.591448,16.798,0.023
60327.601517,16.816,0.021
60327.604683,16.857,0.024
60328.573093,16.813,0.025
60328.576327,16.793,0.023
60328.59749,16.824,0.023
60328.603141,16.784,0.021
60329.556403,16.762,0.027
60329.559579,16.829,0.026
60329.565091,16.769,0.021
60329.576506,16.757,0.026
60330.546975,16.745,0.028
60330.550154,16.806,0.027
60330.554282,16.712,0.027
60330.561166,16.689,0.026
60331.573229,16.689,0.03
60331.576395,16.723,0.026
60331.594338,16.705,0.026
60331.600788,16.778,0.027
60332.527145,16.71,0.033
60332.5304,16.648,0.033
60332.535662,16.696,0.033
60332.547226,16.663,0.03
60333.522764,16.624,0.037
60333.525982,16.661,0.037
60333.531485,16.639,0.036
60333.541574,16.665,0.033
60334.572316,16.646,0.053
60334.575479,16.627,0.052
60334.580916,16.659,0.051
60335.569525,16.591,0.042
60335.582584,16.579,0.04
60335.585747,16.62,0.039
60335.596459,16.545,0.032
60337.538291,16.478,0.028
60337.540099,16.505,0.022
60337.542827,16.501,0.027
60337.553022,16.526,0.029
60338.538791,16.553,0.03
60338.554059,16.66,0.037
60338.557222,16.631,0.03
60338.56265,16.587,0.032
60344.440845,16.382,0.018
60344.444584,16.418,0.018
60344.451113,16.407,0.016
60344.46132,16.446,0.019
60359.504859,16.234,0.017
60359.507213,16.291,0.02
60359.510385,16.264,0.019
60359.515436,16.318,0.021
60359.565716,16.301,0.017
60361.487177,16.27,0.022
60361.488984,16.269,0.022
60361.492617,16.266,0.021
60361.502061,16.279,0.02
60362.432969,16.322,0.041
60362.436172,16.239,0.035
60362.448003,16.262,0.034
60362.453462,16.253,0.03
60363.46004,16.372,0.045
60363.46321,16.308,0.038
60363.476978,16.264,0.038
60363.480171,16.292,0.033
60365.50712,16.263,0.026
60365.508928,16.255,0.024
60365.512544,16.256,0.024
60365.519781,16.251,0.023
60367.639287,16.306,0.019
60367.648762,16.299,0.021
60367.651842,16.301,0.023
60367.662465,16.309,0.033
60368.535893,16.337,0.021
60368.53785,16.341,0.021
60368.561284,16.31,0.017
60368.564233,16.344,0.019
60371.511181,16.287,0.02
60371.51299,16.316,0.018
60371.533786,16.27,0.015
60371.53894,16.294,0.02
60375.622613,16.312,0.015
60375.625964,16.295,0.017
60375.650465,16.331,0.019
60375.660939,16.261,0.02
60384.498351,16.372,0.016
60384.500199,16.413,0.016
60384.502971,16.355,0.015
60384.520365,16.388,0.016
60386.490498,16.363,0.016
60386.492308,16.328,0.017
60386.49548,16.375,0.016
60386.513438,16.381,0.018
60387.400605,16.337,0.02
60387.402464,16.357,0.021
60387.405627,16.361,0.019
60387.411097,16.335,0.021
60388.312632,16.362,0.025
60388.337113,16.374,0.022
60388.356528,16.375,0.02
60388.369913,16.369,0.022
60389.461981,16.417,0.032
60389.464699,16.361,0.025
60389.467873,16.378,0.026
60389.475928,16.318,0.037
60390.422174,16.304,0.022
60390.424887,16.368,0.025
60390.42866,16.36,0.024
60390.43502,16.364,0.026
60391.421299,16.407,0.031
60391.423107,16.352,0.029
60391.425876,16.427,0.029
60391.434135,16.411,0.025
60392.538182,16.482,0.024
60392.541412,16.418,0.025
60392.570642,16.502,0.026
60392.599581,16.504,0.028
60394.52566,16.471,0.038
60394.561571,16.386,0.038
60394.565508,16.326,0.034
60394.592203,16.397,0.029
60395.54603,16.407,0.029
60395.549192,16.482,0.03
60395.550096,16.459,0.03
60395.556185,16.442,0.028
60395.556636,16.442,0.034
60395.559822,16.501,0.033
60395.56705,16.42,0.03
60395.570304,16.522,0.029
60395.649325,16.439,0.042
60396.515035,16.493,0.026
60396.517807,16.435,0.026
60396.548686,16.464,0.026
60396.557169,16.492,0.023
60397.51563,16.579,0.024
60397.519806,16.528,0.023
60397.529874,16.449,0.022
60397.53609,16.513,0.023
60398.472976,16.536,0.021
60398.487576,16.534,0.022
60398.49049,16.539,0.022
60398.495539,16.535,0.021
60398.498708,16.518,0.018
60398.501873,16.48,0.022
60398.523874,16.524,0.02
60398.532838,16.577,0.019
60399.418311,16.527,0.02
60399.421102,16.596,0.023
60399.442854,16.538,0.019
60399.458097,16.551,0.024
60401.464041,16.713,0.02
60401.466813,16.723,0.021
60401.472357,16.702,0.021
60402.389741,16.755,0.013
60402.411359,16.755,0.014
60402.433173,16.733,0.014
60405.390366,16.976,0.013
60405.410621,17.006,0.014
60405.432264,16.962,0.014
60408.431646,17.291,0.069
60408.445527,17.223,0.052
60414.404825,17.668,0.047
60414.425939,17.914,0.069
60414.469693,17.815,0.048
60416.514256,17.813,0.074
60416.539276,17.776,0.072
60416.564275,17.995,0.087
60417.439987,17.815,0.065
60417.441796,17.883,0.071
60417.44496,17.676,0.054
60417.452742,17.965,0.068
60418.424405,17.95,0.071
60418.426215,17.979,0.072
60418.451643,17.955,0.065
60418.462601,17.874,0.068
60421.421169,17.921,0.088
60421.427059,17.84,0.087
60421.433851,17.895,0.088
60427.456845,18.24,0.094
60427.460461,17.975,0.09
60427.49569,17.839,0.077
60427.502529,17.93,0.065
60431.432077,17.977,0.064
60431.470111,18.187,0.077
60431.475345,18.2,0.075
60433.478191,18.406,0.088
60433.506592,18.26,0.096
60433.510095,18.072,0.07
60433.537471,17.922,0.061
60435.447941,18.044,0.09
60437.406233,18.275,0.069
60437.409538,18.085,0.073
60437.441365,18.17,0.079
60437.446912,18.216,0.078
60438.405829,18.169,0.079
60438.409919,18.23,0.086
60438.416623,18.161,0.076
60438.451742,18.259,0.084
60439.413218,18.366,0.089
60439.416477,17.987,0.064
60439.421996,18.343,0.095
60439.457369,18.173,0.079
60443.459962,18.308,0.085
60443.463019,18.219,0.088
60457.382027,18.221,0.094
60459.36188,18.366,0.083
60459.3655,18.274,0.083
60459.384304,18.214,0.068
60461.378104,18.407,0.094
60461.38172,18.384,0.086
60461.387144,18.457,0.099
60461.39697,18.224,0.082
60461.405116,18.327,0.078
60463.362123,18.571,0.092
60463.365291,18.311,0.081
60463.371621,18.33,0.065
60463.382061,18.421,0.08
60465.43851,18.192,0.081
60473.365308,18.497,0.089
