MJD,mag,mag_err
60627.90173,15.522,0.052
60628.14673,15.454,0.044
60630.24288,15.064,0.064
60631.08137,14.971,0.036
60632.1311,14.901,0.025
60633.08277,14.888,0.023
60633.15997,15.014,0.026
60634.09407,14.900,0.023
60634.96993,14.885,0.026
60635.81704,14.873,0.024
60636.08002,14.919,0.022
60637.14811,14.946,0.024
60641.18194,15.075,0.025
60641.84418,14.953,0.025
60642.09898,15.093,0.026
60643.18725,15.072,0.026
60644.13656,14.944,0.022
60646.11969,15.110,0.026
60647.18863,15.209,0.027
60648.16143,15.087,0.024
60650.09866,15.306,0.029
60651.80267,15.199,0.029
60652.81969,15.295,0.033
60653.0729,15.202,0.029
60657.12013,15.403,0.065
60660.77938,15.615,0.063
60662.07288,15.471,0.032
60681.83491,16.201,0.054
60685.07879,16.046,0.06
60686.07405,16.271,0.074
60691.07731,16.357,0.089
60694.03324,15.869,0.084
60694.78469,16.339,0.068
60696.79642,16.448,0.062
60702.03254,16.376,0.066
