MJD,mag,mag_err
60637.102939,14.82,0.006
60637.106645,14.823,0.006
60637.112106,14.839,0.006
60637.123631,14.816,0.006
60638.096688,14.829,0.006
60638.102182,14.849,0.006
60638.106242,14.833,0.006
60638.116393,14.837,0.006
60641.086502,14.871,0.006
60641.090191,14.847,0.006
60641.096703,14.867,0.008
60641.107842,14.853,0.006
60642.088182,14.868,0.006
60642.091871,14.853,0.006
60642.097788,14.861,0.006
60642.109446,14.865,0.006
60645.072415,14.886,0.006
60645.078365,14.913,0.007
60645.081521,14.889,0.006
60645.095805,14.875,0.006
60646.102284,14.88,0.006
60646.137673,14.901,0.007
60646.147464,14.876,0.007
60646.152575,14.878,0.007
60649.045996,14.965,0.007
60649.049221,14.944,0.007
60649.05466,14.956,0.007
60649.058327,14.951,0.007
60649.061516,14.945,0.006
60649.065208,14.942,0.007
60649.068387,14.955,0.007
60649.080058,14.945,0.007
60666.836133,15.367,0.008
60666.839769,15.359,0.008
60666.846638,15.373,0.009
60666.856871,15.369,0.009
60667.818705,15.382,0.009
60667.821524,15.373,0.009
60667.826663,15.379,0.009
60667.836827,15.374,0.009
60670.81212,15.463,0.009
60670.817634,15.454,0.009
60671.79136,15.495,0.01
60671.794997,15.482,0.009
60671.813204,15.494,0.009
60671.818679,15.487,0.009
60675.813387,15.542,0.009
60675.816629,15.552,0.009
60675.823515,15.556,0.009
60675.833585,15.576,0.009
60694.039171,15.867,0.018
60694.042384,15.823,0.015
60694.044718,15.89,0.02
60694.047916,15.91,0.014
60694.058054,15.839,0.016
60698.033695,15.812,0.034
60698.036867,15.924,0.021
60698.038218,16.021,0.018
60698.04142,16.034,0.017
60698.045098,15.971,0.017
60698.046901,16.033,0.015
60698.057521,16.031,0.014
60698.061617,15.875,0.018
60702.033326,16.124,0.024
60702.036485,16.134,0.018
60702.044253,16.123,0.015
60702.057137,16.113,0.016
60706.059985,16.092,0.018
