MJD,mag,mag_err
60627.865398,16.166,0.028
60627.868206,16.093,0.025
60627.873388,16.054,0.024
60627.883993,16.111,0.029
60629.102593,15.184,0.014
60629.105808,15.287,0.013
60629.111479,15.251,0.014
60629.121841,15.277,0.014
60630.101703,15.056,0.012
60630.105392,15.019,0.011
60630.110983,15.019,0.01
60630.121385,15.098,0.012
60630.851159,15.009,0.009
60630.854359,15.018,0.01
60630.859534,15.011,0.01
60630.86936,15.017,0.01
60631.85375,14.981,0.008
60631.85746,14.952,0.008
60631.862704,14.93,0.008
60631.87683,14.954,0.008
60633.102276,14.803,0.007
60633.12088,14.83,0.008
60634.099731,14.875,0.007
60634.102553,14.894,0.007
60634.108103,14.852,0.007
60634.117938,14.885,0.007
60634.835265,14.891,0.007
60634.839361,14.899,0.007
60634.845369,14.89,0.007
60634.855156,14.886,0.007
60635.843694,14.886,0.007
60635.847011,14.889,0.007
60635.852117,14.882,0.006
60635.861988,14.917,0.007
60638.835243,14.888,0.007
60638.838956,14.887,0.007
60638.84449,14.909,0.007
60638.85497,14.89,0.007
60642.828263,14.845,0.006
60642.832019,14.867,0.006
60642.837511,14.841,0.006
60642.849422,14.856,0.006
60643.834363,14.847,0.007
60643.837549,14.84,0.007
60643.844016,14.846,0.007
60643.854177,14.835,0.006
60646.875105,14.813,0.007
60646.87839,14.797,0.007
60646.884349,14.823,0.007
60646.894907,14.799,0.007
60647.800338,14.804,0.007
60647.803601,14.8,0.007
60647.809186,14.803,0.007
60647.809636,14.798,0.007
60647.812791,14.812,0.007
60647.818228,14.806,0.007
60647.819597,14.79,0.006
60647.828952,14.771,0.007
60650.053356,14.811,0.007
60650.057072,14.567,0.007
60650.064515,14.797,0.007
60650.075138,14.831,0.007
60650.803669,14.811,0.007
60650.806843,14.769,0.006
60650.812379,14.805,0.006
60650.822463,14.813,0.007
60651.797264,14.827,0.006
60651.800267,14.813,0.007
60651.805694,14.827,0.006
60651.815831,14.831,0.007
60653.090852,14.75,0.007
60653.094503,14.788,0.008
60653.09992,14.816,0.008
60653.109926,14.745,0.008
60654.066002,14.837,0.008
60654.068782,14.832,0.007
60654.074722,14.833,0.008
60654.084791,14.843,0.007
60654.814569,14.856,0.007
60654.817391,14.853,0.007
60654.822857,14.858,0.007
60654.834219,14.852,0.007
60655.839444,14.88,0.008
60655.842627,14.857,0.009
60655.850392,14.876,0.009
60655.860678,14.885,0.01
60657.086888,14.861,0.009
60657.090059,14.848,0.009
60657.096494,14.827,0.009
60657.108494,14.832,0.01
60658.07571,14.894,0.009
60658.07941,14.893,0.01
60658.086711,14.92,0.01
60658.098679,14.886,0.008
60658.8146,14.912,0.009
60658.821062,14.896,0.008
60658.826191,14.919,0.01
60658.837762,14.915,0.009
60661.069784,14.69,0.008
60661.072983,14.739,0.008
60661.078177,14.699,0.008
60661.09127,14.904,0.008
60662.080148,14.932,0.007
60662.083379,14.896,0.007
60662.088923,14.933,0.007
60662.10209,14.919,0.008
60662.82224,14.939,0.007
60662.825426,14.955,0.007
60662.830912,14.961,0.007
60662.841091,14.949,0.007
60663.851063,14.998,0.008
60663.886747,14.958,0.008
60663.899395,14.988,0.009
60663.90271,14.975,0.009
60665.06855,14.767,0.008
60665.077038,14.974,0.008
60665.08682,14.844,0.008
60666.075073,14.996,0.007
60666.077937,14.992,0.007
60666.08369,14.987,0.007
60666.094421,15.0,0.007
60669.065299,14.978,0.009
60669.06909,14.927,0.008
60669.074763,14.944,0.008
60669.08664,14.938,0.008
60670.035672,14.958,0.011
60670.038865,14.981,0.009
60670.046264,15.004,0.008
60670.056686,14.976,0.008
60673.041793,15.099,0.009
60673.045034,15.108,0.008
60673.060386,15.106,0.008
60674.064695,15.113,0.007
60674.068349,15.107,0.007
60674.073497,15.074,0.008
60674.084996,15.1,0.008
60677.034593,15.2,0.015
60677.037779,15.215,0.012
60677.043254,15.196,0.009
60677.063184,15.212,0.009
60681.072711,15.172,0.011
60681.075908,15.19,0.011
60681.081539,15.224,0.011
60681.096129,15.055,0.01
60682.048934,15.274,0.011
60682.052152,15.184,0.011
60682.057382,15.208,0.01
60682.068519,15.204,0.01
60682.800739,15.289,0.011
60682.803943,15.303,0.011
60682.809987,15.324,0.011
60682.820091,15.295,0.012
60683.797928,15.322,0.011
60683.801167,15.305,0.01
60683.806606,15.325,0.01
60683.816676,15.309,0.01
60685.04831,15.211,0.012
60685.051518,15.283,0.012
60685.056733,15.184,0.012
60685.066689,15.199,0.011
60686.069787,15.355,0.013
60686.072996,15.331,0.014
60686.088211,15.334,0.013
60686.094362,15.329,0.014
60686.798841,15.398,0.012
60686.802011,15.35,0.011
60686.808204,15.354,0.012
60686.818387,15.393,0.013
60687.798721,15.401,0.015
60687.801886,15.37,0.013
60687.807912,15.354,0.017
60687.817949,15.385,0.015
60689.065324,15.377,0.015
60689.070495,15.345,0.019
60689.073677,15.333,0.019
60689.084377,15.356,0.017
60690.065569,15.395,0.014
60690.068774,15.402,0.017
60690.073983,15.431,0.016
60690.095171,15.423,0.016
60690.797993,15.468,0.011
60690.801166,15.447,0.013
60690.807221,15.433,0.013
60690.817336,15.414,0.012
60693.059721,15.514,0.011
60693.073479,15.476,0.011
60693.076752,15.474,0.011
60693.0825,15.491,0.011
60694.785011,15.486,0.026
60694.78817,15.468,0.018
60694.795424,15.531,0.013
60694.807892,15.485,0.011
60695.78453,15.607,0.022
60695.787689,15.549,0.016
60695.794479,15.506,0.012
60695.806329,15.51,0.011
60698.782825,15.476,0.029
60698.785992,15.579,0.02
60698.787345,15.568,0.019
60698.790539,15.552,0.015
60698.793272,15.536,0.016
60698.795979,15.569,0.013
60698.806608,15.602,0.013
60698.809789,15.576,0.014
