MJD,mag,mag_err
60628.21018,17.022,0.167
60630.41824,16.360,0.126
60633.38573,16.678,0.121
60634.28953,16.951,0.159
60635.27579,16.967,0.094
60635.28362,17.148,0.124
60636.3335,17.035,0.105
60636.33693,17.098,0.098
60641.17334,17.404,0.087
60641.39306,17.313,0.119
60661.17457,17.514,0.188
60663.28257,17.053,0.106
60663.29016,17.610,0.178
60665.2511,17.575,0.11
60666.28177,17.665,0.15
60666.28544,17.727,0.191
60667.36914,17.462,0.127
60670.1889,18.061,0.168
60671.51284,17.553,0.137
60672.42785,17.420,0.102
60673.41568,17.534,0.175
60674.22838,17.855,0.152
60674.40503,17.519,0.115
60675.15294,18.057,0.157
60675.39772,18.070,0.178
60676.20607,17.943,0.158
60677.13157,17.866,0.143
60678.13043,17.985,0.138
60679.3409,17.997,0.176
60695.33028,17.974,0.166
60699.40328,18.123,0.176
60699.4305,18.092,0.187
60701.25636,17.943,0.169
