MJD,mag,mag_err
60643.547144,17.038,0.031
60643.562805,17.089,0.028
60643.591339,17.192,0.036
60643.59415,17.165,0.03
60647.457181,17.247,0.034
60647.487438,17.242,0.033
60647.490671,17.269,0.035
60647.502219,17.215,0.03
60651.424054,17.274,0.036
60651.425874,17.333,0.04
60651.431402,17.223,0.031
60651.436467,17.243,0.036
60655.573893,17.222,0.037
60655.577153,17.3,0.035
60655.582437,17.259,0.035
60655.59404,17.292,0.032
60655.612556,17.282,0.039
60655.616776,17.248,0.039
60655.624211,17.319,0.036
60655.638716,17.213,0.04
60699.391803,17.209,0.033
60699.395489,17.248,0.032
60699.401466,17.219,0.033
60699.411503,17.284,0.036
60703.495593,17.261,0.028
60703.498487,17.299,0.033
60703.541409,17.291,0.033
