MJD,mag,mag_err
60629.544288,17.219,0.075
60629.578541,17.136,0.061
60631.45702,17.089,0.094
60631.458415,16.863,0.079
60631.45981,17.02,0.077
60631.464069,17.052,0.076
60631.465082,16.997,0.089
60635.549478,16.95,0.032
60635.575897,16.932,0.032
60635.60415,16.956,0.03
60635.628878,16.924,0.031
60637.448884,16.905,0.086
60637.47317,16.925,0.045
60637.475921,16.896,0.091
60637.493941,16.937,0.031
60637.496684,16.917,0.027
60637.519204,16.935,0.029
60639.552226,16.86,0.024
60639.580693,16.89,0.024
60639.6058,16.871,0.025
60639.630913,16.791,0.026
60649.431803,16.939,0.028
60649.455816,16.9,0.023
60649.459025,16.931,0.027
60649.461777,16.961,0.028
60653.49655,16.895,0.028
60653.53116,16.911,0.029
60653.559761,16.898,0.03
60653.584833,16.94,0.028
60659.520401,16.709,0.074
60663.428265,16.834,0.032
60663.431489,16.776,0.026
60663.437017,16.75,0.028
60663.445493,16.879,0.033
60663.44825,16.808,0.029
60663.453358,16.802,0.028
60663.460215,16.749,0.024
60663.468257,16.788,0.031
60665.408691,16.859,0.033
60665.41059,16.864,0.03
60665.416732,16.85,0.026
60665.421804,16.83,0.025
60667.484558,16.792,0.023
60667.51744,16.775,0.027
60667.520289,16.775,0.026
60667.52554,16.837,0.034
60671.469037,16.816,0.025
60671.472679,16.758,0.023
60671.507936,16.797,0.024
60671.535076,16.775,0.021
60673.463262,16.794,0.022
60673.498374,16.802,0.025
60673.502062,16.848,0.024
60673.530353,16.793,0.025
60675.537014,16.801,0.026
60675.559655,16.773,0.023
60675.562449,16.816,0.025
60675.572522,16.756,0.022
60677.412076,16.769,0.022
60677.445816,16.81,0.027
60677.448594,16.821,0.028
60677.453704,16.776,0.022
60679.490846,16.678,0.023
60679.496002,16.764,0.062
60681.337509,16.735,0.029
60681.339361,16.783,0.03
60681.342564,16.732,0.028
60681.370361,16.711,0.026
60681.393561,16.744,0.025
60681.395413,16.737,0.024
60681.398168,16.726,0.023
60681.403326,16.692,0.023
60683.407416,16.74,0.07
60683.441389,16.493,0.031
60683.446894,16.629,0.031
60683.451004,16.669,0.025
60683.457405,16.787,0.037
60683.492776,16.697,0.033
60683.521223,16.735,0.028
60683.545982,16.679,0.021
60685.384395,16.76,0.039
60687.420287,16.735,0.058
60687.423528,16.68,0.054
60687.429781,16.568,0.053
60687.431598,16.735,0.08
60687.434524,16.606,0.079
60687.463296,16.797,0.065
60687.466464,16.696,0.078
60687.494882,16.549,0.073
60691.415843,16.7,0.035
60691.419021,16.649,0.032
60691.424934,16.581,0.03
60691.434981,16.8,0.037
60693.309322,16.682,0.024
60693.311166,16.731,0.026
60693.313913,16.729,0.025
60693.318982,16.659,0.02
60695.473401,16.714,0.028
60695.476181,16.69,0.027
60695.481805,16.659,0.025
60695.516987,16.726,0.029
60697.353503,16.679,0.023
60697.357487,16.725,0.023
60697.362916,16.707,0.023
60697.370024,16.674,0.022
