MJD,mag,mag_err
60698.138264,17.911,0.085
60695.260208,17.825,0.057
60693.302083,17.832,0.056
60691.240289,17.848,0.084
60678.202361,17.651,0.073
60675.385521,17.739,0.052
60673.322986,17.713,0.06
60667.366713,17.644,0.051
60665.409051,17.603,0.062
60663.449607,17.553,0.058
60660.40338,17.538,0.054
60658.259768,17.551,0.059
60655.176551,17.474,0.103
60653.203692,17.518,0.046
60651.239398,17.455,0.055
60649.345266,17.438,0.048
60640.306667,17.145,0.044
60640.306667,17.145,0.044
60635.246643,17.076,0.044
