MJD,mag,mag_err
60632.86806,16.946,0.082
60634.229,16.628,0.087
60635.22214,16.153,0.094
60635.22353,15.988,0.063
60635.83244,16.050,0.047
60635.84013,16.032,0.041
60636.10151,15.827,0.041
60636.16972,15.804,0.045
60636.90587,15.673,0.035
60637.22006,15.421,0.038
60637.22256,15.390,0.041
60638.17282,15.142,0.036
60639.06857,15.111,0.027
60639.14126,14.994,0.027
60639.25051,15.083,0.029
60640.13831,14.787,0.024
60640.16481,14.858,0.029
60641.28318,14.633,0.025
60641.77639,14.621,0.021
60641.78022,14.693,0.022
60642.20983,14.424,0.026
60642.96493,14.560,0.019
60643.20666,14.299,0.024
60643.21423,14.329,0.024
60643.98991,14.368,0.018
60644.22941,14.478,0.019
60645.00952,14.289,0.017
60645.22891,14.184,0.021
60645.23711,14.102,0.022
60646.18362,14.113,0.02
60646.18961,14.009,0.021
60646.952,14.147,0.016
60647.00489,14.181,0.016
60647.22025,14.335,0.018
60647.22571,14.098,0.017
60647.24463,14.073,0.02
60648.0824,14.027,0.017
60648.26477,14.082,0.02
60649.17822,14.097,0.02
60649.18117,13.943,0.02
60650.18568,13.992,0.019
60650.18778,13.939,0.02
60650.24956,14.271,0.017
60650.88109,14.098,0.016
60651.11425,13.996,0.019
60651.11557,13.935,0.02
60652.87281,14.244,0.017
60652.87667,14.148,0.016
60653.14402,14.029,0.021
60657.04997,14.462,0.024
60657.15902,14.424,0.024
60659.04384,14.807,0.029
60659.21447,14.559,0.032
60659.217,14.574,0.032
60660.10381,14.669,0.028
60660.11406,14.755,0.026
60662.20694,14.860,0.029
60662.20987,14.963,0.029
60663.00421,14.950,0.029
60663.2539,14.805,0.035
60663.25694,14.951,0.042
60665.03963,15.190,0.034
60665.25538,15.104,0.036
60665.25533,14.929,0.035
60666.32826,15.249,0.033
60669.20534,15.322,0.032
60669.22685,15.352,0.028
60676.00179,15.729,0.038
60677.88942,15.774,0.037
60677.89284,15.884,0.043
60678.92845,15.619,0.037
60678.96489,15.782,0.037
60681.92424,15.886,0.04
60681.94157,15.950,0.04
60684.11325,15.756,0.055
60684.20787,15.684,0.053
60686.21162,15.776,0.07
60686.9216,15.975,0.055
60687.18567,15.788,0.074
60689.06932,15.900,0.066
60689.08099,15.974,0.088
60690.21685,15.790,0.089
60691.08404,15.748,0.056
60692.12041,15.939,0.076
60694.21113,15.756,0.08
60694.94782,16.077,0.056
60694.98611,16.049,0.064
60697.20926,16.080,0.048
60698.96171,16.071,0.045
60699.11925,16.109,0.063
60700.07397,16.049,0.045
60701.05011,15.728,0.059
60702.15251,15.981,0.051
60704.03949,16.009,0.061
60704.21448,16.131,0.049
60705.08415,16.148,0.047
60705.89032,16.339,0.054
60706.07802,16.056,0.052
