MJD,mag,mag_err
60640.17685,14.662,0.006
60640.183732,14.669,0.006
60640.217556,14.649,0.005
60640.220785,14.659,0.005
60640.221686,14.657,0.005
60652.207543,13.885,0.004
60652.223089,13.888,0.004
60665.880149,14.651,0.005
60665.88338,14.673,0.005
60665.889751,14.667,0.005
60665.899872,14.663,0.005
60669.885637,14.866,0.006
60669.888837,14.86,0.006
60669.894349,14.857,0.006
60669.904291,14.855,0.006
60673.877369,15.044,0.007
60673.880567,15.047,0.007
60673.886098,15.031,0.007
60673.896145,15.036,0.007
60677.86177,15.164,0.007
60677.867185,15.189,0.007
60677.870402,15.188,0.007
60677.880507,15.171,0.007
60696.073039,15.541,0.009
60696.075907,15.514,0.009
60696.081815,15.539,0.009
60696.096143,15.519,0.009
60700.073784,15.587,0.01
60700.077555,15.589,0.009
60700.083912,15.58,0.009
60700.094212,15.571,0.01
60704.085853,15.642,0.01
60704.089064,15.652,0.01
60704.094722,15.623,0.01
60704.095717,15.664,0.01
60704.09941,15.653,0.01
60704.104528,15.644,0.01
60704.111996,15.637,0.011
60704.128957,15.633,0.011
60708.06901,15.671,0.01
60708.072727,15.657,0.01
