MJD,mag,mag_err
60629.954167,16.83,0.046
60629.962416,16.773,0.044
60629.965614,16.725,0.04
60629.997398,16.846,0.043
60632.219836,16.421,0.028
60632.223966,16.505,0.024
60632.23089,16.45,0.025
60632.262455,16.475,0.027
60636.21943,15.326,0.009
60636.257826,15.306,0.01
60636.265187,15.321,0.009
60637.912109,14.93,0.007
60637.914374,14.952,0.007
60637.917543,14.923,0.007
60637.922999,14.947,0.007
60637.95119,14.919,0.006
60637.954514,14.916,0.007
60637.989349,14.931,0.007
60637.994919,14.921,0.007
60645.909297,13.919,0.011
60645.915749,13.916,0.013
60645.949338,13.929,0.037
60649.950853,13.726,0.028
60649.979538,13.622,0.03
60650.007775,13.709,0.005
60650.010651,13.72,0.005
60653.910076,13.703,0.003
60653.913274,13.728,0.003
60653.919802,13.74,0.004
60653.920252,13.713,0.004
60653.922996,13.707,0.004
60657.898343,13.771,0.004
60657.901954,13.771,0.004
60657.907862,13.759,0.004
60657.9433,13.751,0.004
60660.136778,13.827,0.005
60661.904572,13.943,0.004
60661.907741,13.936,0.004
60661.913653,13.949,0.004
60661.924219,13.934,0.004
60672.163873,14.395,0.005
60676.111857,14.33,0.006
60676.115067,14.306,0.006
60676.12045,14.284,0.006
60676.133588,14.314,0.006
60681.856667,14.752,0.007
60681.859837,14.732,0.006
60681.86577,14.754,0.007
60681.876656,14.748,0.006
60684.115208,14.772,0.007
60684.118412,14.774,0.007
60684.123947,14.797,0.007
60684.148061,14.775,0.007
60685.85045,14.84,0.008
60685.854129,14.852,0.007
60685.859618,14.804,0.007
60685.869636,14.844,0.007
60688.141353,14.871,0.009
60688.144644,14.895,0.009
60688.148824,14.845,0.01
60688.150735,14.878,0.01
60688.153979,14.798,0.01
60688.157773,14.573,0.01
60688.174791,14.87,0.012
60688.176656,14.86,0.014
60692.160227,14.959,0.009
60692.163032,14.967,0.009
60692.17011,14.973,0.009
60692.203405,14.943,0.009
60693.828331,15.0,0.007
60693.831987,14.997,0.007
60693.838854,15.004,0.007
60693.848823,15.001,0.007
60697.821791,15.051,0.008
60697.824964,15.077,0.008
60697.830497,15.044,0.008
60697.840924,15.073,0.008
60701.83392,15.16,0.008
60701.837638,15.167,0.009
60701.844636,15.155,0.009
60701.855193,15.168,0.009
60705.809518,15.212,0.008
60705.812743,15.233,0.008
60705.819231,15.218,0.008
60705.829719,15.228,0.008
