MJD,mag,mag_err
60656.625715,18.484,0.152
60656.629381,18.571,0.185
60656.630285,18.205,0.117
60656.647782,18.416,0.152
60656.659648,18.499,0.172
60664.606101,18.329,0.156
60664.610237,18.554,0.147
60664.636763,18.783,0.182
60672.634483,18.787,0.182
60672.635399,18.602,0.112
60672.65041,18.683,0.122
60672.652279,18.488,0.116
60674.333138,18.255,0.109
60674.350638,18.528,0.139
60674.353545,18.591,0.132
60674.635052,19.069,0.189
60675.3391,18.434,0.121
60675.356416,18.522,0.154
60675.361146,18.519,0.151
60678.328195,18.618,0.147
60678.332355,18.549,0.114
60678.33758,18.955,0.174
60678.35011,18.447,0.139
60678.63993,18.639,0.144
60680.591972,18.488,0.162
60680.593783,18.876,0.179
60680.599214,18.68,0.129
60680.610563,18.667,0.114
60683.341976,18.679,0.172
60683.35541,18.785,0.167
60684.591882,18.64,0.164
60684.595045,18.652,0.125
60685.304951,18.614,0.171
60685.308601,18.898,0.163
60685.31718,18.822,0.154
60690.559336,18.455,0.143
60690.577378,18.669,0.179
60697.309381,18.523,0.197
60697.333653,18.596,0.189
60699.249063,18.776,0.17
60699.254521,18.885,0.172
60700.049709,18.928,0.179
60700.052871,18.818,0.152
60700.056028,18.849,0.16
60700.070996,18.887,0.178
60707.036424,18.88,0.142
60707.038729,18.863,0.149
60707.041888,18.735,0.126
60707.047313,18.629,0.121
60709.003676,18.763,0.131
60709.005492,19.085,0.149
60709.009566,18.87,0.142
