MJD,m,dm
60636.350909,17.055,0.032
60636.354081,17.048,0.029
60636.362247,17.045,0.026
60636.372893,17.011,0.029
60639.115508,16.111,0.019
60639.119139,16.232,0.019
60639.12547,16.199,0.018
60639.138227,16.233,0.018
60640.331914,16.064,0.016
60640.335093,16.054,0.015
60640.340591,16.022,0.014
60640.351471,16.06,0.014
60643.118594,15.826,0.013
60643.121755,15.846,0.013
60643.13322,15.813,0.014
60643.149583,15.81,0.013
60644.325152,15.755,0.012
60644.329254,15.781,0.012
60644.334706,15.74,0.012
60644.346527,15.763,0.012
60647.099705,15.645,0.012
60647.103323,15.632,0.011
60647.108773,15.638,0.01
60647.118852,15.649,0.011
60668.79834,16.315,0.018
60668.80154,16.307,0.017
60668.807865,16.312,0.017
60668.818262,16.33,0.017
60672.820207,16.541,0.02
60672.830172,16.546,0.021
60672.836052,16.556,0.021
60672.838899,16.546,0.024
