MJD,m,dm
60636.870096,16.315,0.023
60636.873253,16.351,0.02
60636.878674,16.346,0.023
60636.889166,16.371,0.023
60638.349989,15.991,0.016
60638.353192,15.974,0.015
60638.358476,15.991,0.015
60638.375891,15.987,0.016
60644.844304,15.378,0.01
60644.847924,15.334,0.01
60644.85436,15.334,0.01
60644.864775,15.361,0.01
60648.851841,15.187,0.015
60650.297142,15.171,0.007
60650.300338,15.174,0.008
60650.310058,15.176,0.008
60650.320277,15.173,0.007
60651.084471,15.039,0.009
60651.094894,15.047,0.01
60651.098063,15.033,0.009
60651.105313,15.041,0.009
60652.327569,15.168,0.009
60652.330752,15.126,0.009
60652.336204,15.162,0.009
60652.346379,15.056,0.009
60652.822117,15.157,0.01
60652.825729,15.12,0.01
60652.831191,15.123,0.01
60652.842074,15.129,0.011
60654.300894,15.13,0.01
60654.304494,15.157,0.008
60654.33974,15.148,0.009
60654.346925,15.146,0.009
60658.333138,15.195,0.011
60658.336356,15.216,0.011
60658.342767,15.192,0.011
60658.359598,15.182,0.011
60659.127275,15.194,0.014
60659.130437,15.23,0.014
60659.152158,15.224,0.014
60659.162195,15.177,0.013
60660.358193,15.228,0.017
60660.361884,15.238,0.015
60660.367847,15.258,0.019
60660.377902,15.269,0.016
60660.830475,15.281,0.011
60660.833689,15.226,0.011
60660.841027,15.241,0.01
60660.851138,15.256,0.011
60663.095909,15.348,0.011
60663.099081,15.35,0.011
60663.106905,15.344,0.01
60663.130201,15.327,0.01
60664.332048,15.44,0.012
60664.337579,15.408,0.01
60664.341691,15.44,0.011
60664.352299,15.42,0.014
60664.919819,15.382,0.014
60664.922982,15.446,0.013
60664.929198,15.357,0.014
60664.962656,15.382,0.018
60666.28412,15.507,0.01
60666.305606,15.504,0.011
60666.308808,15.491,0.01
60666.319939,15.489,0.011
60667.053933,15.127,0.014
60667.057109,15.125,0.012
60667.064385,15.105,0.013
60667.085526,15.107,0.014
60668.298023,15.584,0.012
60668.301695,15.552,0.011
60668.307189,15.593,0.012
60668.318537,15.6,0.012
60671.055467,15.682,0.013
60671.059124,15.622,0.011
60671.071048,15.7,0.012
60671.076963,15.697,0.012
60672.311503,15.771,0.013
60672.31513,15.744,0.013
60672.320589,15.755,0.013
60672.331747,15.776,0.013
60674.27518,15.855,0.014
60674.278381,15.837,0.012
60674.283681,15.891,0.013
60674.296067,15.832,0.013
60675.042083,15.911,0.016
60675.045717,15.886,0.017
60675.051188,15.937,0.017
60675.062124,15.922,0.016
60678.258078,16.056,0.014
60678.263573,16.072,0.015
60678.267259,16.098,0.014
60678.278049,16.084,0.015
60679.042418,16.068,0.019
60679.046037,16.044,0.018
60679.051953,16.062,0.017
60679.06251,16.065,0.017
60680.260473,16.106,0.019
60680.273519,16.095,0.016
60680.276699,16.126,0.019
