MJD,mag,mag_err
60677.010597,14.317,0.007
60677.013767,14.353,0.008
60677.019665,14.319,0.007
60677.032374,14.333,0.01
60685.043333,14.545,0.011
60685.046496,14.545,0.007
60685.049664,14.569,0.007
60685.059664,14.557,0.01
60700.492,16.414,0.034
60700.500638,16.475,0.042
60703.311465,17.003,0.062
60703.315194,16.747,0.066
60703.337383,16.68,0.049
60703.365607,16.478,0.047
60704.541778,17.181,0.134
60704.572983,16.719,0.057
60704.578633,16.85,0.086
60704.581829,16.603,0.08
60707.258892,16.924,0.049
60707.260695,17.176,0.073
60707.267091,17.324,0.076
60707.296238,17.195,0.065
60708.509831,17.176,0.062
60708.513001,17.242,0.06
60708.51845,17.05,0.062
60708.537269,17.011,0.053
