MJD,mag,mag_err
60660.557222,14.683,0.012
60660.559031,14.761,0.011
60660.563125,14.7,0.009
60660.57315,14.706,0.009
60661.034696,14.964,0.014
60661.056519,14.906,0.016
60661.05968,14.912,0.019
60661.075153,14.869,0.019
60662.626201,15.588,0.031
60662.647813,15.597,0.022
60662.652828,15.629,0.031
60662.654656,15.698,0.028
60667.293944,15.171,0.016
60667.315894,15.211,0.018
60668.594127,14.86,0.009
60668.597306,14.91,0.009
60668.600481,14.911,0.009
60668.606188,14.89,0.009
60669.074806,14.824,0.011
60669.082974,14.851,0.012
60669.086628,14.841,0.011
60669.097319,14.815,0.011
60671.309184,14.518,0.007
60671.312807,14.548,0.011
60671.316433,14.521,0.011
60671.326419,14.505,0.009
60672.529724,14.351,0.007
60672.532038,14.358,0.007
60672.5495,14.327,0.006
60672.554607,14.367,0.006
60674.589034,14.181,0.007
60674.592293,14.191,0.006
60674.595063,14.174,0.006
60674.607268,14.211,0.007
60675.315549,14.082,0.008
60675.318731,14.121,0.007
60675.342832,14.105,0.006
60675.358293,14.09,0.006
60676.647426,14.008,0.009
60676.651543,14.05,0.007
60676.659017,14.024,0.008
60676.672903,14.034,0.012
60678.580871,13.963,0.005
60678.582697,13.972,0.01
60678.585901,13.967,0.005
60678.601719,13.959,0.009
60679.326931,13.867,0.007
60679.343883,13.814,0.014
60679.35347,13.686,0.01
60680.543776,13.925,0.005
60680.5456,13.878,0.005
60680.548768,13.935,0.006
60680.556437,13.922,0.009
60683.294235,13.704,0.011
60683.297875,13.805,0.006
60683.302402,13.803,0.007
60683.315114,13.801,0.01
60684.533234,14.05,0.014
60684.535061,14.054,0.012
60684.538246,14.028,0.007
60684.543673,14.042,0.008
60687.236083,14.192,0.034
60687.257982,14.245,0.024
60687.261217,14.133,0.014
60687.269458,13.96,0.067
60689.015729,14.363,0.009
60689.033027,14.376,0.009
60689.035283,14.374,0.008
60689.038892,14.359,0.009
60690.497467,14.508,0.009
60690.501639,14.54,0.009
60690.516852,14.593,0.009
60690.524536,14.565,0.008
60695.349722,15.061,0.019
60695.358329,15.099,0.014
60695.362453,15.087,0.019
60695.367006,15.012,0.017
60696.57934,15.307,0.017
60696.604459,15.298,0.015
60696.632237,15.283,0.016
60696.641102,15.274,0.014
60698.559753,15.613,0.019
60698.563907,15.605,0.022
60698.589549,15.652,0.018
60698.617404,15.182,0.102
60699.326457,15.62,0.023
60699.33054,15.643,0.034
60699.36611,15.686,0.022
60699.37808,15.645,0.026
60700.936685,16.119,0.038
60700.938488,15.989,0.036
60700.9431,15.84,0.031
60700.94853,16.034,0.046
60704.927173,16.229,0.032
60704.929486,16.209,0.038
60704.932644,16.245,0.036
60704.95214,16.417,0.036
60709.05992,16.74,0.071
60709.064033,16.666,0.053
60709.096658,16.882,0.077
