MJD,mag,mag_err
60418.52536999993,11.652,0.081
60421.54212999996,11.895,0.025
60421.62808999978,11.692,0.006
60421.71438999986,11.701,0.008
60422.473089999985,11.617,0.014
60422.565979999956,11.671,0.006
60422.65207999991,11.467,0.010
60426.523159999866,12.095,0.027
60426.69280999992,11.763,0.008
60427.482400000095,11.765,0.037
60428.66072000004,11.919,0.026
60429.46543999994,11.859,0.008
60429.63486000011,11.902,0.012
60433.498209999874,11.907,0.009
60434.462729999796,11.95,0.008
60436.49513999978,11.937,0.009
60444.46398,12.097,0.008
60446.494549999945,12.062,0.007
60447.4668800002,12.172,0.008
60448.455440000165,12.17,0.008
60453.54869499989,12.263,0.004
60453.5524050002,12.247,0.014
60453.556139000226,12.253,0.004
60453.55978799984,12.27,0.021
60453.56352999993,12.249,0.004
60453.56720599998,12.236,0.010
60466.51462000003,12.2,0.008
60474.480370000005,12.22,0.008
60478.46376000019,12.257,0.011
60479.50295000011,12.23,0.027
60481.458279999904,12.384,0.021
60493.48975999979,12.446,0.013
