MJD,mag,mag_err
60446.915033000056,13.901,0.017
60448.890443999786,13.981,0.045
60452.942044999916,13.884,0.021
60453.95937900012,13.846,0.02
60454.89999999991,13.803,0.016
60455.872690000106,13.825,0.028
60455.8789400002,13.813,0.022
60455.88510000007,13.83,0.019
60455.89140000008,13.821,0.016
60455.897659999784,13.795,0.015
60455.90393000003,13.798,0.014
60455.910209999885,13.801,0.013
60455.91642000014,13.781,0.014
60455.92268999992,13.803,0.012
60455.92884999979,13.802,0.012
60455.93502999982,13.824,0.012
60455.94128999999,13.804,0.012
60455.94757999992,13.79,0.012
60455.9537800001,13.801,0.012
60455.9599700002,13.81,0.013
60455.9662299999,13.849,0.013
60455.97240999993,13.814,0.014
60455.97866000002,13.825,0.015
60455.98546000011,13.798,0.015
60455.99424999999,13.832,0.016
60456.00946999993,13.79,0.019
60456.015720000025,13.846,0.021
60456.02196000004,13.815,0.025
60457.88577000005,13.701,0.022
60461.88861999987,13.778,0.028
60461.89454999985,13.803,0.022
60461.900470000226,13.782,0.018
60461.906390000135,13.76,0.016
60461.91231000004,13.783,0.015
60461.91824000003,13.78,0.014
60461.92414999986,13.773,0.013
60461.93006999977,13.767,0.013
60461.93598000007,13.776,0.013
60461.94192000013,13.778,0.012
60461.94785000011,13.773,0.012
60461.95377000002,13.8,0.011
60461.95968999993,13.769,0.012
60461.96560000023,13.781,0.012
60461.97153000021,13.789,0.014
60461.97745000012,13.806,0.012
60461.98505999986,13.803,0.013
60461.99097000016,13.833,0.014
60461.996900000144,13.765,0.015
60462.00282000005,13.817,0.016
60462.00876000011,13.826,0.019
60462.01468000002,13.786,0.024
60463.890819999855,13.891,0.03
60463.89674999984,13.891,0.022
60463.902670000214,13.933,0.019
60463.90859000012,13.939,0.017
60463.91451000003,13.975,0.016
60463.92042999994,13.948,0.015
60463.92633999977,13.936,0.015
60463.93227000022,13.927,0.014
60463.93819000013,13.907,0.021
60463.947279999964,13.967,0.041
60463.95834500017,13.885,0.016
60463.99172999989,13.981,0.021
60463.99766999995,13.944,0.023
60464.023099999875,13.964,0.05
60466.968836999964,14.242,0.024
60467.894954000134,14.357,0.042
60469.00082299998,14.563,0.021
60469.980793999974,14.742,0.023
60471.90858099982,15.013,0.04
60480.90459399996,15.771,0.124
60482.89947299985,15.764,0.093
60483.907126999926,15.851,0.072
60488.91634600004,16.002,0.069
60497.895022000186,16.003,0.134
60501.89389699977,16.135,0.125
60503.90622799983,16.249,0.088
60506.90071000019,16.149,0.146
60510.90681699989,16.486,0.142
60519.878089000005,16.71,0.278
60527.863954000175,16.33,0.223
