MJD,mag,mag_err
60446.919309999794,13.25,0.024
60448.89472200023,13.254,0.03
60452.94847900001,13.122,0.016
60453.96365599986,13.051,0.015
60454.904277999885,13.012,0.014
60455.87572999997,13.013,0.032
60455.88195999991,12.975,0.025
60455.888210000005,12.981,0.022
60455.8944600001,13.005,0.019
60455.900739999954,13.011,0.018
60455.90700000012,12.986,0.018
60455.913290000055,12.95,0.017
60455.919519999996,12.995,0.017
60455.92570000002,13.0,0.017
60455.93189000012,12.978,0.017
60455.93807000015,12.979,0.016
60455.94437999977,13.009,0.016
60455.95063999994,12.997,0.017
60455.95679999981,12.983,0.017
60455.963010000065,12.996,0.017
60455.96932000015,12.987,0.019
60455.97551999986,12.969,0.019
60455.981709999964,13.002,0.02
60455.988510000054,13.009,0.022
60455.99894999992,13.035,0.024
60456.00626000017,13.026,0.023
60456.01249000011,12.962,0.028
60456.018769999966,13.031,0.026
60456.0251000002,12.942,0.027
60456.0314199999,12.951,0.038
60457.89004699979,12.897,0.014
60461.87973999977,12.866,0.034
60461.885660000145,12.802,0.025
60461.89159000013,12.789,0.018
60461.897520000115,12.797,0.018
60461.90342999995,12.792,0.015
60461.90935999993,12.793,0.014
60461.91527000023,12.781,0.014
60461.921200000215,12.81,0.014
60461.92711000005,12.798,0.013
60461.93302999996,12.782,0.014
60461.938949999865,12.813,0.013
60461.944889999926,12.773,0.014
60461.95081999991,12.819,0.013
60461.95673000021,12.783,0.013
60461.96265000012,12.788,0.013
60461.96857000003,12.811,0.014
60461.98106000014,12.818,0.014
60461.98800999997,12.799,0.015
60461.99393999996,12.793,0.015
60461.99986999994,12.819,0.017
60462.00578999985,12.79,0.018
60462.011719999835,12.842,0.02
60462.01764999982,12.779,0.023
60463.89379000012,12.771,0.021
60463.89971000003,12.766,0.019
60463.905629999936,12.822,0.015
60463.91155999992,12.811,0.015
60463.91747000022,12.812,0.015
60463.92339000013,12.803,0.015
60463.92929999996,12.779,0.014
60463.935229999945,12.802,0.021
60463.94332000008,12.777,0.038
60463.962623000145,12.758,0.011
60463.988760000095,12.812,0.019
60463.994700000156,12.789,0.021
60464.00063000014,12.788,0.027
60466.97311299993,12.843,0.013
60467.8992300001,12.899,0.017
60469.00509800017,12.957,0.012
60469.98506999994,13.014,0.012
60471.9128589998,13.121,0.016
60480.90887199994,13.563,0.027
60482.90375099983,13.566,0.023
60483.91140400013,13.592,0.02
60486.901630999986,13.692,0.029
60488.92062400002,13.734,0.02
60497.89930099994,13.871,0.032
60501.8981730002,13.97,0.031
60503.910503999796,14.021,0.021
60506.904984999914,14.025,0.033
60510.91109499987,14.155,0.03
60518.88161699986,14.188,0.039
60519.88236499997,14.15,0.031
60527.86823099991,14.275,0.04
